pathology,prior
Spontaneous pneumothorax,0.009825926480123696
Cluster headache,0.019901241957204847
Boerhaave,0.011322260461868423
Spontaneous rib fracture,0.006234724923936356
GERD,0.02414085490548157
HIV (initial infection),0.025537433288443313
Anemia,0.0473839094219163
Viral pharyngitis,0.05476582373185695
Inguinal hernia,0.01825527457728565
Myasthenia gravis,0.021597087136515536
Whooping cough,0.007980447902638535
Anaphylaxis,0.025238166492094368
Epiglottitis,0.015412240011970672
Guillain-Barré syndrome,0.025487555489051822
Acute laryngitis,0.022794154321911318
Croup,0.003890468352536286
PSVT,0.018305152376677142
Atrial fibrillation,0.020799042346251684
Bronchiectasis,0.018504663574243106
Allergic sinusitis,0.03910419472292882
Chagas,0.009825926480123696
Scombroid food poisoning,0.01606065140406005
Myocarditis,0.00942690408499177
Larygospasm,0.01935258616389845
Acute dystonic reactions,0.027283156267145493
Localized edema,0.027632300862885928
SLE,0.011671405057608858
Tuberculosis,0.017407351987630305
Unstable angina,0.02219562072921343
Stable angina,0.016559429397974963
Ebola,0.0006982891914808719
Acute otitis media,0.024589755100004988
Panic attack,0.02304354331886877
Bronchospasm / acute asthma exacerbation,0.021397575938949573
Bronchitis,0.02354232131278368
Acute COPD exacerbation / infection,0.017357474188238815
Pulmonary embolism,0.02538779989026884
URTI,0.06020250386552945
Influenza,0.02478926629757095
Pneumonia,0.02394134370791561
Acute rhinosinusitis,0.013167739039353584
Chronic rhinosinusitis,0.020000997555987828
Bronchiolitis,0.00014963339817447254
Pulmonary neoplasm,0.013965783829617438
Possible NSTEMI / STEMI,0.018404907975460124
Sarcoidosis,0.019801486358421865
Pancreatic neoplasm,0.01700832959249838
Acute pulmonary edema,0.01770661878397925
Pericarditis,0.020948675744426156
