true_pathology,pred_pathology,count
URTI,Viral pharyngitis,4550
Acute otitis media,Viral pharyngitis,2695
Cluster headache,Viral pharyngitis,2151
Acute laryngitis,Viral pharyngitis,2052
Chronic rhinosinusitis,Viral pharyngitis,1701
Bronchitis,Viral pharyngitis,1582
Localized edema,Viral pharyngitis,1347
GERD,Viral pharyngitis,1308
Tuberculosis,Viral pharyngitis,1300
Influenza,Viral pharyngitis,1297
Pulmonary embolism,Viral pharyngitis,1210
Pneumonia,Viral pharyngitis,1156
Allergic sinusitis,Viral pharyngitis,1149
Bronchiectasis,Viral pharyngitis,1049
Acute rhinosinusitis,Viral pharyngitis,1038
Anemia,Viral pharyngitis,1035
Influenza,URTI,983
Pericarditis,Viral pharyngitis,981
HIV (initial infection),URTI,973
PSVT,Anemia,942
Bronchospasm / acute asthma exacerbation,Acute COPD exacerbation / infection,909
Pulmonary neoplasm,Viral pharyngitis,909
HIV (initial infection),Viral pharyngitis,854
Stable angina,Viral pharyngitis,846
Possible NSTEMI / STEMI,Viral pharyngitis,792
