system_family,lambda_value,final_head,num_cases,mean_requests,median_requests,forced_end_rate,correct_count,accuracy,top3_accuracy,top5_accuracy,macro_f1
observed_notebook08_llm_only,0.1,llm_final,24,13.041666666666666,11.0,0.16666666666666666,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461
observed_notebook08_llm_only,0.22,llm_final,24,10.666666666666666,7.5,0.08333333333333333,21,0.875,0.875,0.9166666666666666,0.7948717948717948
observed_notebook08_llm_only,0.35,llm_final,24,8.333333333333334,6.5,0.041666666666666664,21,0.875,0.875,0.875,0.8133333333333332
observed_notebook11_hybrid_v1,0.1,llm_final,24,9.666666666666666,6.0,0.125,21,0.875,0.9166666666666666,0.9166666666666666,0.8133333333333332
observed_notebook11_hybrid_v1,0.1,mlp_final,24,9.666666666666666,6.0,0.125,20,0.8333333333333334,1.0,1.0,0.7564102564102563
observed_notebook11_hybrid_v1,0.1,hybrid_final,24,9.666666666666666,6.0,0.125,20,0.8333333333333334,1.0,1.0,0.7564102564102563
observed_notebook11_hybrid_v1,0.22,llm_final,24,7.458333333333333,5.0,0.08333333333333333,21,0.875,0.9166666666666666,0.9166666666666666,0.8133333333333332
observed_notebook11_hybrid_v1,0.22,mlp_final,24,7.458333333333333,5.0,0.08333333333333333,21,0.875,0.9583333333333334,0.9583333333333334,0.8133333333333332
observed_notebook11_hybrid_v1,0.22,hybrid_final,24,7.458333333333333,5.0,0.08333333333333333,21,0.875,0.9583333333333334,0.9583333333333334,0.8133333333333332
observed_notebook11_hybrid_v1,0.35,llm_final,24,5.875,4.0,0.041666666666666664,20,0.8333333333333334,0.875,0.875,0.7435897435897435
observed_notebook11_hybrid_v1,0.35,mlp_final,24,5.875,4.0,0.041666666666666664,20,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.7435897435897435
observed_notebook11_hybrid_v1,0.35,hybrid_final,24,5.875,4.0,0.041666666666666664,20,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.7435897435897435
