case_id,total_branch_requests,branches_spawned
test:40583,0,0
test:82357,0,0
test:60858,0,0
test:26970,1,0
test:121813,1,0
test:83901,1,0
test:111295,1,0
test:118731,1,0
test:33265,1,0
test:57219,1,0
test:86910,1,0
test:39056,1,0
test:108410,1,0
test:91648,1,0
test:1333,1,0
test:39540,1,0
test:15080,1,0
test:116697,1,0
test:34526,1,0
test:21201,1,0
test:64020,2,0
test:19168,2,0
test:106536,2,0
test:82580,2,0
test:94089,2,0
test:106856,2,0
test:30946,2,0
test:851,2,0
test:1334,2,0
test:126942,2,0
test:77490,3,0
test:103274,3,0
test:46655,3,0
test:38974,3,0
test:106714,3,0
test:2255,3,0
test:18505,3,0
test:10697,3,0
test:44839,3,0
test:131403,3,0
test:82790,4,0
test:80383,4,0
test:95643,4,0
test:128997,4,0
test:65655,4,0
test:83391,5,0
test:51699,6,0
test:86148,6,0
test:132679,6,0
test:77521,6,0
test:54407,6,0
test:131162,6,0
test:18016,6,0
test:78726,6,0
test:41659,7,0
test:74383,7,0
test:100510,7,0
test:12528,7,0
test:49314,7,0
test:58668,7,0
test:125929,7,0
test:51329,8,0
test:24765,8,0
test:127556,8,0
test:10099,8,0
test:83165,8,0
test:35193,9,0
test:129841,9,0
test:63258,9,0
test:80639,10,0
test:121292,10,0
test:20922,11,0
test:34188,11,0
test:72661,13,0
test:117440,14,0
test:85739,16,1
test:79723,16,0
test:26133,17,0
test:85371,18,0
test:28012,18,0
test:58606,18,0
test:5929,20,0
test:68879,20,0
test:83913,20,0
test:51510,21,0
test:41043,21,0
test:36688,22,0
test:75577,22,0
test:47148,24,0
test:39464,24,0
test:95053,24,0
test:54031,24,0
test:114160,24,0
test:130885,24,0
test:92249,24,0
test:37106,24,0
test:121061,24,0
test:45547,24,0
