threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,878,372,0,750,0.7024,1.0,0.625,0.7366644385026738
0.075,875,340,3,782,0.720164609053498,0.9965831435079726,0.6075,0.7540869313867604
0.1,874,328,4,794,0.7271214642262895,0.9954441913439636,0.601,0.7607596102387942
0.125,873,315,5,807,0.7348484848484849,0.9943052391799544,0.594,0.7680811750088314
0.15,871,301,7,821,0.7431740614334471,0.9920273348519362,0.586,0.7749376735328631
0.175,868,293,10,829,0.7476313522825151,0.9886104783599089,0.5805,0.7767869043848644
0.2,866,283,12,839,0.7536988685813751,0.9863325740318907,0.5745,0.7810478592368818
0.22499999999999998,865,276,13,846,0.7581069237510956,0.9851936218678815,0.5705,0.7844761084988975
0.25,864,266,14,856,0.7646017699115044,0.9840546697038725,0.565,0.7898510155149242
0.27499999999999997,862,260,16,862,0.768270944741533,0.9817767653758542,0.561,0.7915164266949273
0.3,858,251,20,871,0.7736699729486023,0.9772209567198178,0.5545,0.7929005913009229
0.32499999999999996,855,240,23,882,0.7808219178082192,0.9738041002277904,0.5475,0.7966964799069348
0.35,855,233,23,889,0.7858455882352942,0.9738041002277904,0.544,0.8012386813329597
0.37499999999999994,852,219,26,903,0.7955182072829131,0.9703872437357631,0.5355,0.8069812276929824
0.39999999999999997,844,206,34,916,0.8038095238095239,0.9612756264236902,0.525,0.8065051273149558
0.42499999999999993,843,199,35,923,0.809021113243762,0.9601366742596811,0.521,0.8099333765769716
0.44999999999999996,834,193,44,929,0.8120740019474196,0.9498861047835991,0.5135,0.8038011226089111
0.475,825,186,53,936,0.8160237388724035,0.9396355353075171,0.5055,0.7983177545588539
0.49999999999999994,818,179,60,943,0.8204613841524574,0.9316628701594533,0.4985,0.7950622908368151
0.525,807,170,71,952,0.8259979529170931,0.9191343963553531,0.4885,0.788648790294747
0.5499999999999999,796,166,82,956,0.8274428274428275,0.9066059225512528,0.481,0.7789908601626611
0.575,790,161,88,961,0.8307045215562566,0.8997722095671982,0.4755,0.7755515767686242
0.6,781,152,97,970,0.8370846730975349,0.8895216400911162,0.4665,0.7713659805545743
0.625,760,137,118,985,0.8472686733556298,0.8656036446469249,0.4485,0.7577062738804364
0.65,740,128,138,994,0.8525345622119815,0.8428246013667426,0.434,0.7412672038622863
0.675,719,122,159,1000,0.8549346016646849,0.8189066059225513,0.4205,0.7217675239261164
0.7,692,108,186,1014,0.865,0.7881548974943052,0.4,0.7007752183499202
0.725,676,97,202,1025,0.8745148771021992,0.7699316628701595,0.3865,0.6900897288238136
0.75,651,87,227,1035,0.8821138211382114,0.7414578587699316,0.369,0.6687297839036215
0.775,629,78,249,1044,0.8896746817538896,0.7164009111617312,0.3535,0.6500628095574531
0.7999999999999999,602,70,276,1052,0.8958333333333334,0.6856492027334852,0.336,0.6251771884732356
0.825,557,60,321,1062,0.9027552674230146,0.6343963553530751,0.3085,0.5815382002728612
0.85,490,49,388,1073,0.9090909090909091,0.5580865603644647,0.2695,0.51404115038229
0.875,441,35,437,1087,0.9264705882352942,0.5022779043280182,0.238,0.4685418971978934
0.9,399,29,479,1093,0.9322429906542056,0.4544419134396355,0.214,0.4256492218175322
0.9249999999999999,329,16,549,1106,0.9536231884057971,0.37471526195899774,0.1725,0.3561080872709407
0.95,237,6,641,1116,0.9753086419753086,0.26993166287015946,0.1215,0.2601133473621381
