score_margin_threshold,cases_flagged,case_rate,final_errors_flagged,final_error_capture_rate,resolver_misses_flagged
0.0,0,0.0,0,0.0,0
0.05,1,0.00510204081632653,1,0.08333333333333333,0
0.1,2,0.01020408163265306,2,0.16666666666666666,1
0.15,4,0.02040816326530612,3,0.25,2
0.2,6,0.030612244897959183,3,0.25,2
0.25,7,0.03571428571428571,3,0.25,2
0.3,10,0.05102040816326531,4,0.3333333333333333,2
0.35,11,0.05612244897959184,4,0.3333333333333333,2
0.4,12,0.061224489795918366,5,0.4166666666666667,3
0.45,13,0.0663265306122449,5,0.4166666666666667,3
0.5,17,0.08673469387755102,7,0.5833333333333334,5
0.55,20,0.10204081632653061,7,0.5833333333333334,5
0.6,23,0.11734693877551021,8,0.6666666666666666,6
0.65,25,0.12755102040816327,8,0.6666666666666666,6
0.7,29,0.14795918367346939,9,0.75,7
0.75,30,0.15306122448979592,10,0.8333333333333334,8
0.8,36,0.1836734693877551,10,0.8333333333333334,8
0.85,45,0.22959183673469388,12,1.0,10
0.9,50,0.25510204081632654,12,1.0,10
0.95,52,0.2653061224489796,12,1.0,10
1.0,196,1.0,12,1.0,10
