source,case_ids
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/live_graph_advisory_hybrid_shortlist_pilot24_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/live_graph_advisory_hybrid_shortlist_pilot24_v1/benchmark_cases.csv,24
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/live_graph_bayes_rescue_confirmation_49case_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/live_graph_bayes_rescue_confirmation_49case_v1/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/live_medkgi_graph_shortlist_pilot24_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/live_medkgi_graph_shortlist_pilot24_v1/benchmark_cases.csv,24
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/llm_led_graph_ledger_context_pilot24_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/graph_algorithmic_ledger/llm_led_graph_ledger_context_pilot24_v1/benchmark_cases.csv,24
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/hybrid_mlp_feedback_dryrun_test_1perclass_cap24_1lambdas_smoke_test2/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/hybrid_mlp_feedback_live_test_1perclass_cap24_3lambdas_hybrid_mlp_feedback_v1/benchmark_cases.csv,24
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/hybrid_v2_mlp_discriminative_shortlist_24case_v1/benchmark_cases.csv,24
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/hybrid_v2_mlp_discriminative_shortlist_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/selected_stop_live_confirmation_24case_v1/benchmark_cases.csv,24
