case_id,total_branch_requests,branches_spawned
test:105864,0,0
test:133289,0,0
test:45768,0,0
test:32430,0,0
test:2066,0,0
test:95571,0,0
test:52970,0,0
test:27223,0,0
test:125873,0,0
test:76617,0,0
test:126708,1,0
test:46178,1,0
test:119943,1,0
test:9464,1,0
test:128826,1,0
test:110564,1,0
test:31308,1,0
test:23208,1,0
test:457,1,0
test:80735,1,0
test:39091,1,0
test:126203,1,0
test:112956,1,0
test:21800,1,0
test:23963,1,0
test:71951,1,0
test:119627,1,0
test:810,1,0
test:34824,1,0
test:19069,1,0
test:94267,1,0
test:132880,1,0
test:130353,1,0
test:29699,1,0
test:43433,1,0
test:80690,1,0
test:69335,1,0
test:68148,1,0
test:100704,1,0
test:21486,2,0
test:53721,2,0
test:29347,2,0
test:6242,2,0
test:67784,2,0
test:17496,2,0
test:18962,2,0
test:26671,2,0
test:609,2,0
test:66826,2,0
test:10395,2,0
test:22450,2,0
test:93342,2,0
test:51562,2,0
test:27272,2,0
test:122787,2,0
test:65568,2,0
test:8943,2,0
test:125311,2,0
test:19892,2,0
test:60218,3,0
test:30171,3,0
test:45939,3,0
test:20287,3,0
test:124713,3,0
test:118428,3,0
test:101559,3,0
test:76382,3,0
test:5445,3,0
test:17836,3,0
test:34189,3,0
test:37968,3,0
test:17888,3,0
test:21999,3,0
test:115290,3,0
test:130230,3,0
test:19984,3,0
test:126738,3,0
test:42918,3,0
test:109763,3,0
test:81333,3,0
test:62484,3,0
test:49934,3,0
test:77939,4,0
test:121934,4,0
test:52366,4,0
test:35167,4,0
test:40700,4,0
test:120057,4,0
test:50292,4,0
test:58470,4,0
test:115388,4,0
test:53986,4,0
test:22120,4,0
test:93816,4,0
test:11778,4,0
test:125644,4,0
test:95902,4,1
test:60675,5,0
test:55836,5,0
test:93539,5,0
test:57428,5,0
test:125700,5,0
test:113762,5,0
test:52726,5,0
test:21703,5,1
test:37820,5,0
test:100008,5,0
test:2461,6,0
test:12432,6,0
test:22506,6,0
test:71991,6,2
test:50574,6,0
test:134107,6,0
test:81766,6,0
test:27475,7,0
test:132876,7,1
test:90666,7,0
test:59989,7,0
test:62463,7,0
test:55857,7,0
test:71825,7,0
test:127812,7,0
test:102855,7,0
test:84852,8,0
test:54762,8,0
test:34582,8,0
test:101294,8,0
test:100513,8,0
test:118007,8,0
test:117204,8,0
test:29414,8,0
test:61503,8,0
test:71152,8,0
test:62294,9,0
test:121387,9,0
test:29193,9,0
test:3964,9,0
test:51012,9,0
test:45267,9,0
test:60601,9,0
test:127254,10,0
test:1852,10,0
test:119650,10,0
test:54380,10,0
test:86128,10,0
test:36152,10,0
test:124793,10,0
test:91156,11,0
test:102273,11,1
test:87173,11,0
test:133618,11,1
test:125197,11,0
test:40298,11,1
test:78953,11,0
test:94294,11,0
test:129579,11,0
test:124382,11,0
test:56690,11,3
test:10950,12,0
test:79005,12,0
test:3379,12,0
test:27034,13,0
test:71912,13,0
test:115522,15,0
test:33679,15,0
test:49990,15,0
test:62026,16,0
test:37163,16,0
test:12030,16,0
test:116166,17,0
test:117607,17,0
test:113629,18,0
test:133165,20,1
test:7624,20,1
test:17625,22,0
test:101755,22,0
test:33412,22,0
test:53391,23,0
test:67364,23,0
test:59233,23,0
test:87390,24,0
test:120114,24,0
test:130201,24,0
test:90104,25,3
test:59965,29,1
test:127067,42,1
test:55869,47,3
test:33420,48,1
test:94849,48,1
test:97460,51,2
test:30358,51,2
test:122679,57,3
test:77972,80,3
test:23690,80,3
test:105339,81,3
test:80077,85,3
