case_id,num_requests_base,branch_requests_replayed,branches_replayed,extra_roots_requested,total_replayed_requests
test:38475,24,24.0,1,0,48.0
test:104857,1,0.0,0,0,1.0
test:58986,1,0.0,0,0,1.0
test:33118,7,9.0,1,0,16.0
test:93930,3,0.0,0,0,3.0
test:111176,8,0.0,0,2,10.0
test:88250,13,0.0,0,0,13.0
test:121319,3,0.0,0,0,3.0
test:18744,1,0.0,0,0,1.0
test:11342,5,0.0,0,0,5.0
test:11198,4,0.0,0,0,4.0
test:112233,5,0.0,0,0,5.0
test:90978,0,0.0,0,0,0.0
test:11655,8,0.0,0,2,10.0
test:29123,5,0.0,0,0,5.0
test:51421,23,0.0,0,0,23.0
test:130566,7,0.0,0,2,9.0
test:46152,5,0.0,0,0,5.0
test:81691,7,15.0,1,0,22.0
test:77908,7,0.0,0,0,7.0
test:91516,5,0.0,0,0,5.0
test:96956,3,0.0,0,0,3.0
test:34242,3,0.0,0,0,3.0
test:106010,3,0.0,0,0,3.0
test:8666,6,0.0,0,0,6.0
test:38202,2,0.0,0,0,2.0
test:133888,3,0.0,0,0,3.0
test:89477,7,0.0,0,0,7.0
test:100664,2,0.0,0,0,2.0
test:35039,22,21.0,1,2,45.0
test:51611,19,0.0,0,0,19.0
test:2801,3,0.0,0,0,3.0
test:76022,8,5.0,1,0,13.0
test:62878,24,21.0,1,2,47.0
test:95923,9,0.0,0,0,9.0
test:19160,7,0.0,0,0,7.0
test:23687,3,0.0,0,0,3.0
test:105129,2,0.0,0,0,2.0
test:52755,7,0.0,0,0,7.0
test:36032,8,0.0,0,0,8.0
test:133024,3,0.0,0,0,3.0
test:749,4,0.0,0,0,4.0
test:71107,1,0.0,0,0,1.0
test:16097,17,0.0,0,0,17.0
test:107472,6,0.0,0,0,6.0
test:13402,2,0.0,0,0,2.0
test:125508,7,0.0,0,0,7.0
test:39033,10,0.0,0,2,12.0
test:19424,0,0.0,0,0,0.0
