policy_name,n_cases,correct,accuracy,top3_correct,top3_accuracy,top5_correct,top5_accuracy,candidate_pool_recall_correct,candidate_pool_recall,mean_selected_requests,mean_total_branch_requests,cohort,scope,claim_type
current_final_pipeline,49,48,0.9795918367346939,49,1.0,49,1.0,49,1.0,,,nb33_49,cohort,deployable_saved_artifact
raw_gbm_candidate_argmax,49,47,0.9591836734693877,49,1.0,49,1.0,49,1.0,,,nb33_49,cohort,diagnostic
calibration196_rule_layer_v1,49,48,0.9795918367346939,49,1.0,49,1.0,49,1.0,,,nb33_49,cohort,calibration_selected_needs_fresh_confirmation
pooled_label_fit_no_regret_rules_diagnostic,49,48,0.9795918367346939,49,1.0,49,1.0,49,1.0,,,nb33_49,cohort,diagnostic_label_fit
candidate_pool_oracle_non_deployable,49,49,1.0,49,1.0,49,1.0,49,1.0,,,nb33_49,cohort,oracle_non_deployable
current_final_pipeline,98,88,0.8979591836734694,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,8.36734693877551,8.428571428571429,nb37_98,cohort,deployable_saved_artifact
raw_gbm_candidate_argmax,98,87,0.8877551020408163,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,8.36734693877551,8.428571428571429,nb37_98,cohort,diagnostic
calibration196_rule_layer_v1,98,88,0.8979591836734694,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,8.36734693877551,8.428571428571429,nb37_98,cohort,calibration_selected_needs_fresh_confirmation
pooled_label_fit_no_regret_rules_diagnostic,98,91,0.9285714285714286,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,8.36734693877551,8.428571428571429,nb37_98,cohort,diagnostic_label_fit
candidate_pool_oracle_non_deployable,98,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,8.36734693877551,8.428571428571429,nb37_98,cohort,oracle_non_deployable
current_final_pipeline,196,184,0.9387755102040817,194,0.9897959183673469,194,0.9897959183673469,194,0.9897959183673469,6.770408163265306,9.556122448979592,nb38_196,cohort,deployable_saved_artifact
raw_gbm_candidate_argmax,196,183,0.9336734693877551,194,0.9897959183673469,194,0.9897959183673469,194,0.9897959183673469,6.770408163265306,9.556122448979592,nb38_196,cohort,diagnostic
calibration196_rule_layer_v1,196,187,0.9540816326530612,194,0.9897959183673469,194,0.9897959183673469,194,0.9897959183673469,6.770408163265306,9.556122448979592,nb38_196,cohort,calibration_selected_needs_fresh_confirmation
pooled_label_fit_no_regret_rules_diagnostic,196,191,0.9744897959183674,194,0.9897959183673469,194,0.9897959183673469,194,0.9897959183673469,6.770408163265306,9.556122448979592,nb38_196,cohort,diagnostic_label_fit
candidate_pool_oracle_non_deployable,196,194,0.9897959183673469,194,0.9897959183673469,194,0.9897959183673469,194,0.9897959183673469,6.770408163265306,9.556122448979592,nb38_196,cohort,oracle_non_deployable
current_final_pipeline,343,320,0.9329446064139941,335,0.9766763848396501,335,0.9766763848396501,335,0.9766763848396501,7.302721088435374,9.180272108843537,pooled_343,pooled,deployable_saved_artifact
raw_gbm_candidate_argmax,343,317,0.924198250728863,335,0.9766763848396501,335,0.9766763848396501,335,0.9766763848396501,7.302721088435374,9.180272108843537,pooled_343,pooled,diagnostic
calibration196_rule_layer_v1,343,323,0.9416909620991254,335,0.9766763848396501,335,0.9766763848396501,335,0.9766763848396501,7.302721088435374,9.180272108843537,pooled_343,pooled,calibration_selected_needs_fresh_confirmation
pooled_label_fit_no_regret_rules_diagnostic,343,330,0.9620991253644315,335,0.9766763848396501,335,0.9766763848396501,335,0.9766763848396501,7.302721088435374,9.180272108843537,pooled_343,pooled,diagnostic_label_fit
candidate_pool_oracle_non_deployable,343,335,0.9766763848396501,335,0.9766763848396501,335,0.9766763848396501,335,0.9766763848396501,7.302721088435374,9.180272108843537,pooled_343,pooled,oracle_non_deployable
