threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,889,333,3,775,0.7274959083469722,0.9966367713004485,0.611,0.7557077099286074
0.075,887,320,5,788,0.7348798674399337,0.9943946188340808,0.6035,0.7620535538521314
0.1,886,308,6,800,0.7420435510887772,0.9932735426008968,0.597,0.7688387050557705
0.125,886,300,6,808,0.7470489038785835,0.9932735426008968,0.593,0.7740928566803192
0.15,884,287,8,821,0.7549103330486764,0.9910313901345291,0.5855,0.7804387006038431
0.175,883,279,9,829,0.7598967297762479,0.9899103139013453,0.581,0.7845967759952082
0.2,879,273,13,835,0.7630208333333334,0.9854260089686099,0.576,0.7841530847808842
0.22499999999999998,876,266,16,842,0.7670753064798599,0.9820627802690582,0.571,0.7854622387528128
0.25,874,257,18,851,0.7727674624226348,0.9798206278026906,0.5655,0.7891810068640625
0.27499999999999997,866,248,26,860,0.77737881508079,0.9708520179372198,0.557,0.7863233175762089
0.3,864,243,28,865,0.7804878048780488,0.968609865470852,0.5535,0.7874150098751842
0.32499999999999996,860,236,32,872,0.7846715328467153,0.9641255605381166,0.548,0.7876280876139289
0.35,853,230,39,878,0.7876269621421976,0.9562780269058296,0.5415,0.7838961677000535
0.37499999999999994,846,224,46,884,0.7906542056074767,0.9484304932735426,0.535,0.7801642477861779
0.39999999999999997,840,220,52,888,0.7924528301886793,0.9417040358744395,0.53,0.7762148661993493
0.42499999999999993,836,212,56,896,0.7977099236641222,0.9372197309417041,0.524,0.7770847128911625
0.44999999999999996,831,206,61,902,0.8013500482160077,0.9316143497757847,0.5185,0.7755449454436548
0.475,825,199,67,909,0.8056640625,0.9248878923766816,0.512,0.7735658707160318
0.49999999999999994,818,190,74,918,0.8115079365079365,0.9170403587443946,0.504,0.7718042576613621
0.525,809,179,83,929,0.8188259109311741,0.9069506726457399,0.494,0.7691640300464619
0.5499999999999999,800,170,92,938,0.8247422680412371,0.8968609865470852,0.485,0.7652102645254246
0.575,790,150,102,958,0.8404255319148937,0.8856502242152466,0.47,0.7673848812549579
0.6,776,137,116,971,0.8499452354874042,0.8699551569506726,0.4565,0.7605778103802755
0.625,760,127,132,981,0.8568207440811725,0.852017937219731,0.4435,0.7496082801800197
0.65,742,115,150,993,0.8658109684947491,0.8318385650224215,0.4285,0.7377601354195333
0.675,723,100,169,1008,0.8784933171324423,0.8105381165919282,0.4115,0.726786221285069
0.7,693,90,199,1018,0.8850574712643678,0.7769058295964125,0.3915,0.7004716238202392
0.725,663,75,229,1033,0.8983739837398373,0.7432735426008968,0.369,0.6774408711207525
0.75,631,69,261,1039,0.9014285714285715,0.7073991031390134,0.35,0.6463070453772807
0.775,601,58,291,1050,0.9119878603945372,0.6737668161434978,0.3295,0.6206492168655194
0.7999999999999999,564,42,328,1066,0.9306930693069307,0.6322869955156951,0.303,0.5906026994868142
0.825,521,30,371,1078,0.9455535390199638,0.5840807174887892,0.2755,0.5513526488967314
0.85,452,24,440,1084,0.9495798319327731,0.5067264573991032,0.238,0.47966400252545693
0.875,401,14,491,1094,0.9662650602409638,0.4495515695067265,0.2075,0.43033180416376615
0.9,358,7,534,1101,0.9808219178082191,0.4013452914798206,0.1825,0.3877979088083405
0.9249999999999999,308,5,584,1103,0.9840255591054313,0.3452914798206278,0.1565,0.3343076350552848
0.95,249,1,643,1107,0.996,0.27914798206278024,0.125,0.27226621310971166
