feature,importance_mean,importance_std
anchor_bayes_rank,0.046395491214244355,0.0035436888445909975
anchor_bayes_posterior,0.034141098798568026,0.007798587636342502
bayes_top_posterior,0.020284449909522495,0.006066098619319948
anchor_graph_score,0.01871387817582798,0.0033325444378397573
graph_top_score,0.01632333912983641,0.0024946378770299704
graph_margin,0.008370408403336638,0.003622544960025731
bayes_margin,0.006744546876942037,0.005125938285748477
ledger_disagrees_anchor,0.005317382753986355,0.0012615116920725034
anchor_graph_rank,0.003936708148577384,0.001713579242770158
mlp_confidence,0.0034295498574628547,0.00038602317201513747
anchor_mlp_rank,0.0018622526413298868,0.003936557870279356
graph_bayes_agree,0.0006640720672912437,0.0012784466905144676
mlp_entropy,0.00031819468717303456,0.0006203176741829686
anchor_mlp_posterior,0.0001039219853216089,0.00022688534751014178
all_heads_anchor,-0.0024367785711276735,0.0016795747095316171
pair_coverage,-0.002732252704868543,0.0008365474854161725
pair_missing_utility,-0.00339428139911252,0.0009197846089852857
mlp_margin,-0.0038246504238602097,0.00039598187034078913
visible_root_count,-0.004707286654096421,0.0030128838811909753
request_count,-0.006402249775209756,0.0009812784650640172
