score_margin_threshold,cases_flagged,case_rate,final_errors_flagged,final_error_capture_rate,resolver_misses_flagged
0.0,0,0.0,0,0.0,0
0.05,0,0.0,0,0.0,0
0.1,0,0.0,0,0.0,0
0.15,0,0.0,0,0.0,0
0.2,0,0.0,0,0.0,0
0.25,1,0.5,1,1.0,1
0.3,1,0.5,1,1.0,1
0.35,1,0.5,1,1.0,1
0.4,1,0.5,1,1.0,1
0.45,1,0.5,1,1.0,1
0.5,1,0.5,1,1.0,1
0.55,1,0.5,1,1.0,1
0.6,1,0.5,1,1.0,1
0.65,1,0.5,1,1.0,1
0.7,1,0.5,1,1.0,1
0.75,1,0.5,1,1.0,1
0.8,1,0.5,1,1.0,1
0.85,1,0.5,1,1.0,1
0.9,1,0.5,1,1.0,1
0.95,1,0.5,1,1.0,1
1.0,2,1.0,1,1.0,1
