PATHOLOGY,selected_cases
Acute COPD exacerbation / infection,2
Acute dystonic reactions,2
Acute laryngitis,2
Acute otitis media,2
Acute pulmonary edema,2
Acute rhinosinusitis,3
Allergic sinusitis,2
Anaphylaxis,2
Anemia,2
Atrial fibrillation,2
Boerhaave,2
Bronchiectasis,2
Bronchiolitis,2
Bronchitis,2
Bronchospasm / acute asthma exacerbation,2
Chagas,2
Chronic rhinosinusitis,2
Cluster headache,2
Croup,2
Ebola,2
Epiglottitis,2
GERD,2
Guillain-Barré syndrome,2
HIV (initial infection),2
Influenza,2
Inguinal hernia,2
Larygospasm,2
Localized edema,2
Myasthenia gravis,2
Myocarditis,2
PSVT,2
Pancreatic neoplasm,2
Panic attack,2
Pericarditis,2
Pneumonia,2
Possible NSTEMI / STEMI,2
Pulmonary embolism,2
Pulmonary neoplasm,2
SLE,2
Sarcoidosis,2
Scombroid food poisoning,2
Spontaneous pneumothorax,2
Spontaneous rib fracture,2
Stable angina,2
Tuberculosis,2
URTI,2
Unstable angina,3
Viral pharyngitis,2
Whooping cough,2
