threshold,cases_triggered,case_rate,base_incorrect_triggered,candidate_pool_misses_triggered,candidate_pool_miss_capture_rate,final_errors_triggered,final_error_capture_rate
0.0,100,1.0,15,3,1.0,10,1.0
0.05,41,0.41,12,2,0.6666666666666666,8,0.8
0.1,18,0.18,12,2,0.6666666666666666,8,0.8
0.15,13,0.13,11,2,0.6666666666666666,7,0.7
0.2,9,0.09,8,2,0.6666666666666666,5,0.5
0.25,7,0.07,6,1,0.3333333333333333,4,0.4
0.3,6,0.06,5,1,0.3333333333333333,4,0.4
0.35,6,0.06,5,1,0.3333333333333333,4,0.4
0.4,6,0.06,5,1,0.3333333333333333,4,0.4
0.45,5,0.05,5,1,0.3333333333333333,3,0.3
0.5,5,0.05,5,1,0.3333333333333333,3,0.3
0.55,5,0.05,5,1,0.3333333333333333,3,0.3
0.6,5,0.05,5,1,0.3333333333333333,3,0.3
0.65,5,0.05,5,1,0.3333333333333333,3,0.3
0.7,4,0.04,4,1,0.3333333333333333,3,0.3
0.75,4,0.04,4,1,0.3333333333333333,3,0.3
0.8,4,0.04,4,1,0.3333333333333333,3,0.3
0.85,3,0.03,3,0,0.0,2,0.2
0.9,2,0.02,2,0,0.0,1,0.1
0.95,0,0.0,0,0,0.0,0,0.0
