score_margin_threshold,cases_flagged,case_rate,final_errors_flagged,final_error_capture_rate,resolver_misses_flagged
0.0,0,0.0,0,0.0,0
0.05,2,0.02,2,0.2,0
0.1,2,0.02,2,0.2,0
0.15,5,0.05,3,0.3,1
0.2,7,0.07,4,0.4,1
0.25,9,0.09,6,0.6,3
0.3,9,0.09,6,0.6,3
0.35,9,0.09,6,0.6,3
0.4,9,0.09,6,0.6,3
0.45,10,0.1,7,0.7,4
0.5,13,0.13,8,0.8,5
0.55,14,0.14,8,0.8,5
0.6,16,0.16,9,0.9,6
0.65,17,0.17,9,0.9,6
0.7,17,0.17,9,0.9,6
0.75,19,0.19,10,1.0,7
0.8,20,0.2,10,1.0,7
0.85,22,0.22,10,1.0,7
0.9,27,0.27,10,1.0,7
0.95,29,0.29,10,1.0,7
1.0,100,1.0,10,1.0,7
