disease_a,disease_b,root_evidence_id,pair_root_rank,pair_root_utility
Bronchiolitis,URTI,E_53,1,0.12116015787743878
Bronchiolitis,URTI,E_54,2,0.11925199620338758
Bronchiolitis,URTI,E_59,3,0.09622988083456732
Bronchiolitis,URTI,E_56,4,0.09049251500169776
Bronchiolitis,URTI,E_58,5,0.08869445440765686
Bronchiolitis,URTI,E_66,6,0.072850473997133
Bronchiolitis,URTI,E_133,7,0.0645047489928109
Bronchiolitis,URTI,E_57,8,0.04016792884508222
Bronchiolitis,URTI,E_97,9,0.03052302254536702
Bronchiolitis,URTI,E_79,10,0.02925885238293046
Bronchiolitis,URTI,E_50,11,0.02560013640215546
Bronchiolitis,URTI,E_214,12,0.024947173330677943
Boerhaave,Bronchiolitis,E_53,1,0.12333048471359044
Boerhaave,Bronchiolitis,E_54,2,0.11893527763334294
Boerhaave,Bronchiolitis,E_59,3,0.09609257033889101
Boerhaave,Bronchiolitis,E_56,4,0.09036339115802138
Boerhaave,Bronchiolitis,E_58,5,0.08856789621811288
Boerhaave,Bronchiolitis,E_181,6,0.07551809914649528
Boerhaave,Bronchiolitis,E_91,7,0.07154989443331045
Boerhaave,Bronchiolitis,E_133,8,0.050521231601886846
Boerhaave,Bronchiolitis,E_57,9,0.04000490279458437
Boerhaave,Bronchiolitis,E_201,10,0.03254405875560954
Boerhaave,Bronchiolitis,E_148,11,0.02893312177219241
Boerhaave,Bronchiolitis,E_78,12,0.028402190685633388
Allergic sinusitis,Bronchiolitis,E_55,1,0.1891194670739511
Allergic sinusitis,Bronchiolitis,E_66,2,0.07283769930716273
Allergic sinusitis,Bronchiolitis,E_91,3,0.07156488467106377
Allergic sinusitis,Bronchiolitis,E_133,4,0.057551710891463805
Allergic sinusitis,Bronchiolitis,E_57,5,0.048652814381119916
Allergic sinusitis,Bronchiolitis,E_124,6,0.03930503334834972
Allergic sinusitis,Bronchiolitis,E_54,7,0.03757449885839305
Allergic sinusitis,Bronchiolitis,E_226,8,0.02603404971013703
Allergic sinusitis,Bronchiolitis,E_214,9,0.02493925880835856
Allergic sinusitis,Bronchiolitis,E_48,10,0.020020661366043125
Allergic sinusitis,Bronchiolitis,E_169,11,0.013979498303675295
Allergic sinusitis,Bronchiolitis,E_209,12,0.01010809313245665
Epiglottitis,Viral pharyngitis,E_181,1,0.0367347419507541
Epiglottitis,Viral pharyngitis,E_201,2,0.03587735456237519
Epiglottitis,Viral pharyngitis,E_66,3,0.03517537931112411
Epiglottitis,Viral pharyngitis,E_41,4,0.03456856491625888
Epiglottitis,Viral pharyngitis,E_79,5,0.03236395395738256
Epiglottitis,Viral pharyngitis,E_49,6,0.027910065194873893
Epiglottitis,Viral pharyngitis,E_48,7,0.024090610911344755
Epiglottitis,Viral pharyngitis,E_78,8,0.022612571929665995
Epiglottitis,Viral pharyngitis,E_69,9,0.021428402225981857
Epiglottitis,Viral pharyngitis,E_194,10,0.020838758761340767
Epiglottitis,Viral pharyngitis,E_104,11,0.020151430359896746
Epiglottitis,Viral pharyngitis,E_45,12,0.018969146393069486
Pneumonia,Viral pharyngitis,E_129,1,0.09903642133935624
Pneumonia,Viral pharyngitis,E_133,2,0.08969443748279507
Pneumonia,Viral pharyngitis,E_130,3,0.08164797162530321
Pneumonia,Viral pharyngitis,E_136,4,0.07465046050479372
Pneumonia,Viral pharyngitis,E_135,5,0.06562071266209756
Pneumonia,Viral pharyngitis,E_131,6,0.06391301855167894
Pneumonia,Viral pharyngitis,E_134,7,0.0632179040952226
Pneumonia,Viral pharyngitis,E_132,8,0.0621610514676767
Pneumonia,Viral pharyngitis,E_77,9,0.038749764544792877
Pneumonia,Viral pharyngitis,E_66,10,0.03546989660866482
Pneumonia,Viral pharyngitis,E_41,11,0.03457609894969131
Pneumonia,Viral pharyngitis,E_124,12,0.029618420020876925
Bronchitis,URTI,E_123,1,0.029351350442420373
Bronchitis,URTI,E_48,2,0.028288047030783386
Bronchitis,URTI,E_66,3,0.02749181955987105
Bronchitis,URTI,E_50,4,0.02654989901642704
Bronchitis,URTI,E_41,5,0.025431498386834648
Bronchitis,URTI,E_49,6,0.02235013180421523
Bronchitis,URTI,E_144,7,0.01994254266940975
Bronchitis,URTI,E_222,8,0.018771361292217868
Bronchitis,URTI,E_214,9,0.01680686859432114
Bronchitis,URTI,E_219,10,0.009219452433756891
Bronchitis,URTI,E_209,11,0.008802509806524228
Bronchitis,URTI,E_181,12,0.007352572994381207
Panic attack,Pericarditis,E_124,1,0.03073139578444068
Panic attack,Pericarditis,E_82,2,0.025833176434496993
Panic attack,Pericarditis,E_50,3,0.024275128294742713
Panic attack,Pericarditis,E_220,4,0.021946599890600407
Panic attack,Pericarditis,E_78,5,0.021350546348067465
Panic attack,Pericarditis,E_217,6,0.019841125117238248
Panic attack,Pericarditis,E_157,7,0.019089799129391783
Panic attack,Pericarditis,E_0,8,0.018134548812902662
Panic attack,Pericarditis,E_148,9,0.01788010574742331
Panic attack,Pericarditis,E_3,10,0.016479521530881003
Panic attack,Pericarditis,E_16,11,0.011784836415846114
Panic attack,Pericarditis,E_111,12,0.011195496415938448
Chronic rhinosinusitis,Pneumonia,E_129,1,0.0990117205039726
Chronic rhinosinusitis,Pneumonia,E_130,2,0.08164157015712446
Chronic rhinosinusitis,Pneumonia,E_133,3,0.07918172344348377
Chronic rhinosinusitis,Pneumonia,E_136,4,0.07463758622316365
Chronic rhinosinusitis,Pneumonia,E_135,5,0.0656186545533995
Chronic rhinosinusitis,Pneumonia,E_131,6,0.06391101400259583
Chronic rhinosinusitis,Pneumonia,E_134,7,0.06320898332096453
Chronic rhinosinusitis,Pneumonia,E_132,8,0.06215325425562563
Chronic rhinosinusitis,Pneumonia,E_77,9,0.03873640295925996
Chronic rhinosinusitis,Pneumonia,E_91,10,0.03671172947574572
Chronic rhinosinusitis,Pneumonia,E_66,11,0.03545303914175701
Chronic rhinosinusitis,Pneumonia,E_226,12,0.03313663307053344
Bronchiolitis,Sarcoidosis,E_53,1,0.12340310230033706
Bronchiolitis,Sarcoidosis,E_54,2,0.1190476480922378
Bronchiolitis,Sarcoidosis,E_59,3,0.09614247927880495
Bronchiolitis,Sarcoidosis,E_56,4,0.0904103244541526
Bronchiolitis,Sarcoidosis,E_58,5,0.08861389696296823
Bronchiolitis,Sarcoidosis,E_130,6,0.08088538455498481
Bronchiolitis,Sarcoidosis,E_181,7,0.07552858630450619
Bronchiolitis,Sarcoidosis,E_136,8,0.07315371066750538
Bronchiolitis,Sarcoidosis,E_91,9,0.07156009627207018
