case_id,total_branch_requests,branches_spawned
test:17122,0,0
test:115560,0,0
test:13141,0,0
test:93397,0,0
test:28039,0,0
test:13533,0,0
test:110534,1,0
test:70946,1,0
test:126681,1,0
test:36512,1,0
test:23483,1,0
test:37371,1,0
test:115325,1,0
test:94250,1,0
test:78662,1,0
test:121933,1,0
test:1896,1,0
test:6960,1,0
test:84226,1,0
test:99597,1,0
test:10203,1,0
test:2681,1,0
test:68930,1,0
test:78310,1,0
test:132349,1,0
test:93365,1,0
test:19839,1,0
test:119638,2,0
test:84096,2,0
test:64848,2,0
test:62811,2,0
test:10694,2,0
test:5146,2,0
test:104708,2,0
test:24999,2,0
test:87121,2,0
test:82873,2,0
test:116825,3,0
test:50883,3,0
test:102550,3,0
test:66397,3,0
test:42856,3,1
test:102939,4,0
test:120711,4,0
test:133339,5,0
test:29559,5,0
test:108251,5,0
test:102927,5,0
test:57160,5,0
test:131118,5,0
test:18065,6,0
test:93063,6,0
test:9604,6,0
test:19242,6,0
test:29606,7,0
test:6230,7,0
test:39088,7,0
test:8687,8,0
test:7772,8,0
test:66231,8,0
test:40111,8,0
test:58677,8,0
test:70971,9,0
test:33502,9,0
test:111301,9,0
test:88336,9,0
test:14003,9,0
test:72464,10,0
test:10728,10,0
test:26631,10,0
test:66251,10,0
test:124762,10,0
test:27404,10,0
test:48384,10,0
test:59947,11,0
test:102151,12,0
test:60030,12,0
test:129021,12,1
test:67476,12,0
test:115680,12,0
test:39594,12,0
test:97901,13,0
test:121765,14,0
test:85638,15,2
test:5763,15,0
test:44518,15,0
test:129603,16,0
test:67245,16,0
test:3986,16,0
test:129496,18,0
test:74862,21,0
test:35540,23,1
test:71562,24,0
test:101183,24,0
test:5174,24,0
test:9372,24,1
test:46410,24,0
test:29655,24,1
test:4673,24,0
test:102650,24,1
