threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,824,343,0,833,0.7060839760068551,1.0,0.5835,0.7666583333333334
0.075,824,331,0,845,0.7134199134199134,1.0,0.5775,0.7741011904761905
0.1,822,327,2,849,0.7154046997389034,0.9975728155339806,0.5745,0.7742049583911235
0.125,819,318,5,858,0.7203166226912929,0.9939320388349514,0.5685,0.7762213245492371
0.15,816,312,8,864,0.723404255319149,0.9902912621359223,0.564,0.7763769764216366
0.175,813,295,11,881,0.733754512635379,0.9866504854368932,0.554,0.7833552473416552
0.2,811,288,13,888,0.737943585077343,0.9842233009708737,0.5495,0.7853197295423023
0.22499999999999998,809,277,15,899,0.7449355432780848,0.9817961165048543,0.543,0.789765164123902
0.25,803,267,21,909,0.7504672897196262,0.9745145631067961,0.535,0.7888359916782246
0.27499999999999997,798,261,26,915,0.7535410764872521,0.9684466019417476,0.5295,0.7866144590846047
0.3,790,252,34,924,0.7581573896353166,0.9587378640776699,0.521,0.7826878640776699
0.32499999999999996,788,243,36,933,0.7643064985451018,0.9563106796116505,0.5155,0.7858928224687934
0.35,783,234,41,942,0.7699115044247787,0.9502427184466019,0.5085,0.7855320041608876
0.37499999999999994,776,224,48,952,0.776,0.941747572815534,0.5,0.7834142394822007
0.39999999999999997,768,218,56,958,0.7789046653144016,0.9320388349514563,0.493,0.7776269301895516
0.42499999999999993,763,210,61,966,0.7841726618705036,0.9259708737864077,0.4865,0.7766458737864077
0.44999999999999996,757,200,67,976,0.7910135841170324,0.9186893203883495,0.4785,0.7757167013407305
0.475,748,188,76,988,0.7991452991452992,0.9077669902912622,0.468,0.7724622283865002
0.49999999999999994,739,177,85,999,0.8067685589519651,0.8968446601941747,0.458,0.7685875173370319
0.525,724,167,100,1009,0.8125701459034792,0.8786407766990292,0.4455,0.7569610147942673
0.5499999999999999,715,161,109,1015,0.8162100456621004,0.8677184466019418,0.438,0.7499851132686084
0.575,709,154,115,1022,0.8215527230590962,0.8604368932038835,0.4315,0.7471952265372168
0.6,697,145,127,1031,0.827790973871734,0.845873786407767,0.421,0.7385142625982432
0.625,685,136,139,1040,0.8343483556638246,0.8313106796116505,0.4105,0.7298332986592695
0.65,669,131,155,1045,0.83625,0.8118932038834952,0.4,0.7139170134073047
0.675,652,120,172,1056,0.844559585492228,0.7912621359223301,0.386,0.7005335644937587
0.7,643,115,181,1061,0.8482849604221636,0.7803398058252428,0.379,0.6929374248728618
0.725,632,106,192,1070,0.8563685636856369,0.7669902912621359,0.369,0.6854450531668979
0.75,614,88,210,1088,0.8746438746438746,0.7451456310679612,0.351,0.6752146786870088
0.775,590,82,234,1094,0.8779761904761905,0.7160194174757282,0.336,0.6504098936662043
0.7999999999999999,569,70,255,1106,0.8904538341158059,0.6905339805825242,0.3195,0.6328923139158577
0.825,542,61,282,1115,0.8988391376451078,0.6577669902912622,0.3015,0.6063824664817384
0.85,509,54,315,1122,0.9040852575488455,0.6177184466019418,0.2815,0.5715005894590847
0.875,480,44,344,1132,0.916030534351145,0.5825242718446602,0.262,0.543233795654184
0.9,427,32,397,1144,0.9302832244008714,0.5182038834951457,0.2295,0.48768126444752663
0.9249999999999999,334,14,490,1162,0.9597701149425287,0.4053398058252427,0.174,0.38830647249190936
0.95,262,8,562,1168,0.9703703703703703,0.3179611650485437,0.135,0.306449260286639
