threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,873,1076,0,51,0.4479220112878399,1.0,0.9745,0.28295201863354036
0.075,873,980,0,147,0.471127900701565,1.0,0.9265,0.344979347826087
0.1,873,867,0,260,0.5017241379310344,1.0,0.87,0.4179906832298137
0.125,873,752,0,375,0.5372307692307692,1.0,0.8125,0.49229425465838517
0.15,873,663,0,464,0.568359375,1.0,0.768,0.5497987577639751
0.175,871,585,2,542,0.5982142857142857,0.997709049255441,0.728,0.5979550119883603
0.2,870,522,3,605,0.625,0.9965635738831615,0.696,0.6375399713986896
0.22499999999999998,869,477,4,650,0.6456166419019317,0.995418098510882,0.673,0.6654948065854163
0.25,868,437,5,690,0.6651340996168582,0.9942726231386025,0.6525,0.6902190517100312
0.27499999999999997,868,388,5,739,0.6910828025477707,0.9942726231386025,0.628,0.7218788343187268
0.3,865,331,8,796,0.7232441471571907,0.9908361970217641,0.598,0.7553461349099628
0.32499999999999996,859,278,14,849,0.7554969217238346,0.983963344788087,0.5685,0.7828675373346708
0.35,851,236,22,891,0.7828886844526219,0.9747995418098511,0.5435,0.8010406908781741
0.37499999999999994,845,216,28,911,0.7964184731385485,0.9679266895761741,0.5305,0.8072401988929443
0.39999999999999997,835,185,38,942,0.8186274509803921,0.9564719358533792,0.51,0.8160651035552425
0.42499999999999993,820,168,53,959,0.8299595141700404,0.9392898052691867,0.494,0.8102419791822302
0.44999999999999996,814,157,59,970,0.8383110195674562,0.9324169530355098,0.4855,0.8106264250851991
0.475,799,150,74,977,0.8419388830347735,0.9152348224513173,0.4745,0.7983421205879633
0.49999999999999994,790,139,83,988,0.8503767491926802,0.9049255441008018,0.4645,0.7953651403740937
0.525,771,125,102,1002,0.8604910714285714,0.8831615120274914,0.448,0.7831217604746964
0.5499999999999999,747,118,126,1009,0.8635838150289017,0.8556701030927835,0.4325,0.7607531776269449
0.575,721,104,152,1023,0.8739393939393939,0.8258877434135166,0.4125,0.7406664701215911
0.6,681,96,192,1031,0.8764478764478765,0.7800687285223368,0.3885,0.7010163993297902
0.625,644,85,229,1042,0.8834019204389575,0.7376861397479955,0.3645,0.6666661086920947
0.65,601,75,272,1052,0.8890532544378699,0.6884306987399771,0.338,0.6249468478083
0.675,558,66,315,1061,0.8942307692307693,0.6391752577319587,0.312,0.582581468912083
0.7,503,51,370,1076,0.907942238267148,0.5761741122565864,0.277,0.5306470936230461
0.725,424,40,449,1087,0.9137931034482759,0.4856815578465063,0.232,0.4492368373496119
0.75,339,31,534,1096,0.9162162162162162,0.38831615120274915,0.185,0.359811492817656
0.775,251,21,622,1106,0.9227941176470589,0.28751431844215347,0.136,0.26767084018128395
0.7999999999999999,174,13,699,1114,0.93048128342246,0.19931271477663232,0.0935,0.18656318061514163
0.825,108,4,765,1123,0.9642857142857143,0.12371134020618557,0.056,0.11842686815649614
0.85,51,1,822,1126,0.9807692307692307,0.058419243986254296,0.026,0.056498125973831935
0.875,10,0,863,1127,1.0,0.011454753722794959,0.005,0.011204753722794959
0.9,5,0,868,1127,1.0,0.0057273768613974796,0.0025,0.0056023768613974794
0.9249999999999999,3,0,870,1127,1.0,0.003436426116838488,0.0015,0.003361426116838488
0.95,0,0,873,1127,0.0,0.0,0.0,0.0
