case_id,total_branch_requests,branches_spawned
test:19424,0,0
test:90978,0,0
test:71107,1,0
test:18744,1,0
test:58986,1,0
test:104857,1,0
test:105129,2,0
test:100664,2,0
test:38202,2,0
test:13402,2,0
test:96956,2,0
test:133024,3,0
test:23687,3,0
test:34242,3,0
test:2801,3,0
test:133888,3,0
test:106010,3,0
test:8666,3,0
test:93930,3,0
test:121319,3,0
test:749,4,0
test:11198,4,0
test:107472,5,0
test:91516,5,0
test:29123,5,0
test:112233,5,0
test:11342,5,0
test:76022,6,0
test:46152,6,0
test:52755,7,0
test:19160,7,0
test:125508,7,0
test:77908,7,0
test:89477,8,0
test:11655,8,0
test:111176,8,0
test:95923,9,0
test:39033,10,0
test:36032,11,0
test:130566,11,0
test:88250,12,0
test:33118,16,3
test:51611,20,0
test:35039,22,0
test:51421,22,0
test:16097,22,0
test:81691,39,3
test:38475,74,3
test:62878,82,3
