resolver_name,resolver_family,validation_available,validatable_without_49_labels,uses_49_labels_for_selection,uses_unobserved_full_evidence,validate_candidate_pool_recall,validate_row_auc,validate_row_average_precision,validate_group_argmax_accuracy_all_groups,validate_group_argmax_accuracy_conditional_on_candidate_pool,live_cases,live_correct,live_accuracy,live_misses,additional_api_calls,total_api_calls_if_run_after_pool,mean_selected_requests_if_run_after_pool,mean_total_branch_requests_if_run_after_pool,notes
candidate_pool_label_oracle_non_deployable,label_oracle,False,False,True,False,,,,,,49,49,1.0,,0,668,6.775510204081633,12.10204081632653,Selects the true candidate using the held-out 49-case labels. Diagnostic ceiling only.
full_evidence_pathology_top5_non_deployable,external_static_mlp_signal,False,True,False,True,,,,,,49,48,0.9795918367346939,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis,0,668,6.775510204081633,12.10204081632653,"Candidate score from prior one-shot artifact top-5 probabilities. Uses all unobserved evidence roots, so this is a non-deployable ceiling."
notebook31_neural_plus_full_evidence_1_non_deployable,external_full_evidence_blend_non_deployable,False,True,False,True,,,,,,49,48,0.9795918367346939,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis,0,668,6.775510204081633,12.10204081632653,Diagnostic blend with full-evidence model. Uses unobserved roots and is not a resolver-only policy.
notebook31_neural_plus_full_evidence_2_non_deployable,external_full_evidence_blend_non_deployable,False,True,False,True,,,,,,49,48,0.9795918367346939,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis,0,668,6.775510204081633,12.10204081632653,Diagnostic blend with full-evidence model. Uses unobserved roots and is not a resolver-only policy.
gradient_boosting_name_family,supervised_row_model_name_family_features,True,True,False,False,0.912,0.960569014907913,0.8258474885045644,0.63,0.6907894736842105,49,47,0.9591836734693877,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI,0,668,6.775510204081633,12.10204081632653,Supervised row scorer with candidate-name and disease-family conflict features added.
notebook31_neural_plus_full_evidence_0.25_non_deployable,external_full_evidence_blend_non_deployable,False,True,False,True,,,,,,49,47,0.9591836734693877,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI,0,668,6.775510204081633,12.10204081632653,Diagnostic blend with full-evidence model. Uses unobserved roots and is not a resolver-only policy.
notebook31_neural_plus_full_evidence_0.5_non_deployable,external_full_evidence_blend_non_deployable,False,True,False,True,,,,,,49,47,0.9591836734693877,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI,0,668,6.775510204081633,12.10204081632653,Diagnostic blend with full-evidence model. Uses unobserved roots and is not a resolver-only policy.
extra_trees_name_family,supervised_row_model_name_family_features,True,True,False,False,0.912,0.9566922116217742,0.8139476939550389,0.6255,0.6858552631578947,49,46,0.9387755102040817,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI; test:62878:Pericarditis->Anemia,0,668,6.775510204081633,12.10204081632653,Supervised row scorer with candidate-name and disease-family conflict features added.
random_forest_name_family,supervised_row_model_name_family_features,True,True,False,False,0.912,0.9593165935082288,0.8225626706124287,0.624,0.6842105263157895,49,46,0.9387755102040817,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI; test:62878:Pericarditis->Anemia,0,668,6.775510204081633,12.10204081632653,Supervised row scorer with candidate-name and disease-family conflict features added.
notebook31_compact_neural_reference,reference,True,True,False,False,0.912,0.959202071337002,0.8220515842186948,0.623,0.6831140350877193,49,46,0.9387755102040817,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI; test:62878:Pericarditis->Anemia,0,668,6.775510204081633,12.10204081632653,Notebook 31 committed compact neural resolver artifact.
bayes_posterior,heuristic_rank_or_posterior,True,True,False,False,0.912,0.9592726586053683,0.8232064618149987,0.6215,0.6814692982456141,49,46,0.9387755102040817,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis; test:11655:Bronchitis->URTI; test:62878:Pericarditis->Anemia,0,668,6.775510204081633,12.10204081632653,Single-signal or simple posterior/rank heuristic.
