feature,coefficient,abs_coefficient
num__final_top5,-1.6737038206262884,1.6737038206262884
num__ddxplus_graph_posterior,1.569720179397125,1.569720179397125
num__llm_top3,1.5481681792845183,1.5481681792845183
num__support_count_rank_within_pool,-1.496794774776222,1.496794774776222
num__pool_rank,1.255194820027919,1.255194820027919
num__final_rank,1.1929162951804533,1.1929162951804533
num__base_llm_confidence_value,1.1890809815550019,1.1890809815550019
num__resolver_score_norm,1.105277527609279,1.105277527609279
num__ddxplus_graph_posterior_minus_max,1.0883307385874152,1.0883307385874152
num__llm_top5,-0.8578558252015002,0.8578558252015002
num__llm_top1,-0.8339759641875888,0.8339759641875888
num__resolver_score_rank_within_pool,0.8085819928629212,0.8085819928629212
num__ddxplus_graph_score_norm,0.8082491658371648,0.8082491658371648
num__final_top3,-0.7561855983765261,0.7561855983765261
num__casebase_prior_top_score,-0.7288542598645951,0.7288542598645951
num__ddxplus_graph_positive_support,-0.6972726119630767,0.6972726119630767
num__ddxplus_graph_score_minus_max,0.6231074478227999,0.6231074478227999
num__independent_signal_count_rank_within_pool,0.619271034689115,0.619271034689115
num__resolver_score_minus_max,0.6142875343499833,0.6142875343499833
num__independent_signal_count,-0.6090321798077348,0.6090321798077348
num__ddxplus_graph_contradiction,-0.6069748750516416,0.6069748750516416
num__base_llm_rank_value_rank_within_pool,0.5772110951254009,0.5772110951254009
num__candidate_resolver_rr,0.56921954608049,0.56921954608049
num__ddxplus_graph_rank,0.5610372376828534,0.5610372376828534
num__ddxplus_mlp_available,-0.5394328158715965,0.5394328158715965
num__resolver_margin,0.5283127379919597,0.5283127379919597
num__ddxplus_mlp_entropy,0.4826914138105714,0.4826914138105714
num__pool_rr,0.48241439463585895,0.48241439463585895
num__casebase_prior_value_rank_within_pool,0.4543344743364604,0.4543344743364604
num__source_weighted_score_minus_current,0.45038897133770045,0.45038897133770045
num__support_count_norm,-0.44938438260291225,0.44938438260291225
num__casebase_prior_value_minus_max,0.44259583400207403,0.44259583400207403
num__resolver_score,0.41987659538171795,0.41987659538171795
num__ddxplus_mlp_margin,0.4093385815587473,0.4093385815587473
num__num_questions,0.395815137501343,0.395815137501343
num__ddxplus_mlp_confidence,0.3837086327047605,0.3837086327047605
num__resolver_support_count,-0.38361451259389656,0.38361451259389656
num__final_rr,0.3822609353374606,0.3822609353374606
num__ddxplus_graph_rr,-0.3669068560158429,0.3669068560158429
num__casebase_prior_value,0.3628334381185288,0.3628334381185288
num__ddxplus_graph_score,0.3511674322459777,0.3511674322459777
num__support_count,-0.3327128847742784,0.3327128847742784
num__mlp_top1,0.3304832530242933,0.3304832530242933
num__mlp_rank,-0.3180509616453146,0.3180509616453146
num__mlp_top5,0.31080397349522876,0.31080397349522876
num__ddxplus_graph_score_rank_within_pool,0.3093190282122337,0.3093190282122337
num__source_count,-0.29907845321562276,0.29907845321562276
num__ddxplus_graph_posterior_rank_within_pool,0.29667801546994915,0.29667801546994915
num__source_weighted_score,0.28057248108450966,0.28057248108450966
cat__dataset_name_ddxplus,-0.27724609635656267,0.27724609635656267
num__independent_signal_count_minus_max,0.26818725763627843,0.26818725763627843
num__budget,-0.26412915000672404,0.26412915000672404
num__llm_rr,0.2606644513081488,0.2606644513081488
num__rarebench_graph_value,0.25614513178611803,0.25614513178611803
num__rarebench_graph_value_norm,0.25614513178611575,0.25614513178611575
num__allowed_list_size,-0.2427721882486523,0.2427721882486523
cat__dataset_name_icraft_md,0.23906574868997232,0.23906574868997232
num__rarebench_graph_margin,-0.22852311939136968,0.22852311939136968
num__branch_best_rr_minus_max,0.22766698612240618,0.22766698612240618
num__branch_best_rr_rank_within_pool,-0.1886949573774066,0.1886949573774066
num__branch_triggered,-0.17612159199423225,0.17612159199423225
num__branch_top1_count,0.17037521564602992,0.17037521564602992
num__is_current_prediction,-0.16907850799751006,0.16907850799751006
num__final_top1,-0.16907850799751006,0.16907850799751006
num__rarebench_graph_value_rank_within_pool,-0.15895040273490152,0.15895040273490152
num__branch1_conf_value,0.152364243884788,0.152364243884788
num__branch_confidence_sum_norm,-0.1480160595688012,0.1480160595688012
num__rarebench_graph_value_minus_max,0.14294106735894677,0.14294106735894677
num__branch_count,-0.11810011905388207,0.11810011905388207
num__independent_signal_count_norm,0.11608091919098712,0.11608091919098712
num__branch_hit_count,-0.10532654061393755,0.10532654061393755
num__branch_confidence_sum,-0.10257327592278732,0.10257327592278732
num__branch_confidence_sum_rank_within_pool,-0.09274249668649039,0.09274249668649039
num__branch2_conf_value,0.09237708627809392,0.09237708627809392
num__ddxplus_graph_visible_roots,0.09004676228284693,0.09004676228284693
num__llm_rank,-0.08085632751148969,0.08085632751148969
num__candidate_in_allowed_list,0.07577318609252683,0.07577318609252683
num__base_llm_rank_value_minus_max,0.06701062371236992,0.06701062371236992
num__base_llm_rank_value_norm,0.06701062371236617,0.06701062371236617
num__base_llm_rank_value,0.06701062371236577,0.06701062371236577
num__branch1_value,0.0665735767658089,0.0665735767658089
num__branch_confidence_sum_minus_max,0.06421174842188958,0.06421174842188958
num__rarebench_graph_top_score,0.059613986502441166,0.059613986502441166
num__ddxplus_graph_posterior_norm,0.056731821556816164,0.056731821556816164
num__branch2_value,0.04771964699596808,0.04771964699596808
num__branch_best_rr,0.04174907482363682,0.04174907482363682
num__branch_best_rr_norm,0.04174907482363682,0.04174907482363682
