min_probability_margin_vs_current,min_top_probability,min_independent_signal_delta_vs_current,min_source_weighted_delta_vs_current,top1_count,top1,wins_vs_current,regressions_vs_current,changed_predictions
0.0,0.0,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.0,0.05,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.0,0.08,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.0,0.1,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.0,0.12,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.0,0.15,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.005,0.0,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.005,0.05,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.005,0.08,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.005,0.1,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.005,0.12,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.005,0.15,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.01,0.0,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.01,0.05,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.01,0.08,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.01,0.1,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.01,0.12,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.01,0.15,-1.0,-999.0,78,0.8666666666666667,5,0,7
0.0,0.0,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.0,0.05,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.0,0.08,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.0,0.1,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.0,0.12,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.0,0.15,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.005,0.0,-99.0,-999.0,78,0.8666666666666667,5,0,8
0.005,0.05,-99.0,-999.0,78,0.8666666666666667,5,0,8
