heldout_case_group,min_probability_margin_vs_current,min_top_probability,min_independent_signal_delta_vs_current,min_source_weighted_delta_vs_current
ddxplus|test:100196,0.005,0.0,-1.0,-999.0
ddxplus|test:119540,0.0,0.0,-1.0,-999.0
ddxplus|test:122530,0.0,0.0,-1.0,-999.0
ddxplus|test:124172,0.0,0.0,-1.0,-999.0
ddxplus|test:126130,0.0,0.0,-1.0,-999.0
ddxplus|test:127667,0.0,0.0,-99.0,-1.0
ddxplus|test:51518,0.0,0.0,-1.0,-999.0
ddxplus|test:51945,0.0,0.4,-99.0,-999.0
ddxplus|test:56012,0.0,0.0,-1.0,-999.0
ddxplus|test:89931,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:109,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:111,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:113,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:135,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:14,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:18,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:38,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:55,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:78,0.0,0.0,-1.0,-999.0
icraft_md|icraft_md:81,0.0,0.0,-1.0,-999.0
rarebench|rarebench:LIRICAL:289,0.02,0.0,-1.0,-999.0
rarebench|rarebench:LIRICAL:365,0.0,0.0,-1.0,-999.0
rarebench|rarebench:MME:21,0.02,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:30,0.0,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:369,0.01,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:459,0.0,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:482,0.0,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:589,0.0,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:598,0.0,0.0,-1.0,-999.0
rarebench|rarebench:RAMEDIS:608,0.0,0.0,-1.0,-999.0
