policy_name,dataset_name,budget,num_workups,top1,top3,top5,wins_vs_current,regressions_vs_current,changed_predictions
candidate_pool_oracle_diagnostic,ddxplus,5,10,1.0,1.0,1.0,4,0,4
candidate_pool_oracle_diagnostic,ddxplus,10,10,1.0,1.0,1.0,3,0,3
candidate_pool_oracle_diagnostic,ddxplus,15,10,0.9,0.9,0.9,1,0,1
candidate_pool_oracle_diagnostic,icraft_md,5,10,1.0,1.0,1.0,1,0,1
candidate_pool_oracle_diagnostic,icraft_md,10,10,1.0,1.0,1.0,0,0,0
candidate_pool_oracle_diagnostic,icraft_md,15,10,1.0,1.0,1.0,1,0,1
candidate_pool_oracle_diagnostic,rarebench,5,10,1.0,1.0,1.0,2,0,2
candidate_pool_oracle_diagnostic,rarebench,10,10,0.9,0.9,0.9,1,0,1
candidate_pool_oracle_diagnostic,rarebench,15,10,1.0,1.0,1.0,2,0,2
conservative_pool_educator_v1,ddxplus,5,10,0.6,0.6,0.6,0,0,0
conservative_pool_educator_v1,ddxplus,10,10,0.8,0.8,0.8,1,0,1
conservative_pool_educator_v1,ddxplus,15,10,0.9,0.9,0.9,1,0,1
conservative_pool_educator_v1,icraft_md,5,10,0.9,1.0,1.0,0,0,0
conservative_pool_educator_v1,icraft_md,10,10,1.0,1.0,1.0,0,0,0
conservative_pool_educator_v1,icraft_md,15,10,0.9,1.0,1.0,0,0,0
conservative_pool_educator_v1,rarebench,5,10,0.8,0.8,0.8,0,0,0
conservative_pool_educator_v1,rarebench,10,10,0.8,0.8,0.8,0,0,0
conservative_pool_educator_v1,rarebench,15,10,0.8,0.8,0.8,0,0,0
ddxplus_graph_mlp_guard_v1,ddxplus,5,10,0.6,0.6,0.6,0,0,0
ddxplus_graph_mlp_guard_v1,ddxplus,10,10,0.8,0.8,0.8,1,0,1
ddxplus_graph_mlp_guard_v1,ddxplus,15,10,0.9,0.9,0.9,1,0,1
ddxplus_graph_mlp_guard_v1,icraft_md,5,10,0.9,1.0,1.0,0,0,0
ddxplus_graph_mlp_guard_v1,icraft_md,10,10,1.0,1.0,1.0,0,0,0
ddxplus_graph_mlp_guard_v1,icraft_md,15,10,0.9,1.0,1.0,0,0,0
ddxplus_graph_mlp_guard_v1,rarebench,5,10,0.8,0.8,0.8,0,0,0
ddxplus_graph_mlp_guard_v1,rarebench,10,10,0.8,0.8,0.8,0,0,0
ddxplus_graph_mlp_guard_v1,rarebench,15,10,0.8,0.8,0.8,0,0,0
ddxplus_high_conf_mlp_guard_v1,ddxplus,5,10,0.6,0.6,0.6,0,0,0
ddxplus_high_conf_mlp_guard_v1,ddxplus,10,10,0.8,0.8,0.8,1,0,1
ddxplus_high_conf_mlp_guard_v1,ddxplus,15,10,0.9,0.9,0.9,1,0,1
ddxplus_high_conf_mlp_guard_v1,icraft_md,5,10,0.9,1.0,1.0,0,0,0
ddxplus_high_conf_mlp_guard_v1,icraft_md,10,10,1.0,1.0,1.0,0,0,0
ddxplus_high_conf_mlp_guard_v1,icraft_md,15,10,0.9,1.0,1.0,0,0,0
ddxplus_high_conf_mlp_guard_v1,rarebench,5,10,0.8,0.8,0.8,0,0,0
ddxplus_high_conf_mlp_guard_v1,rarebench,10,10,0.8,0.8,0.8,0,0,0
ddxplus_high_conf_mlp_guard_v1,rarebench,15,10,0.8,0.8,0.8,0,0,0
notebook46_current,ddxplus,5,10,0.6,0.6,0.6,0,0,0
notebook46_current,ddxplus,10,10,0.7,0.8,0.8,0,0,0
notebook46_current,ddxplus,15,10,0.8,0.9,0.9,0,0,0
notebook46_current,icraft_md,5,10,0.9,1.0,1.0,0,0,0
notebook46_current,icraft_md,10,10,1.0,1.0,1.0,0,0,0
notebook46_current,icraft_md,15,10,0.9,1.0,1.0,0,0,0
notebook46_current,rarebench,5,10,0.8,0.8,0.8,0,0,0
notebook46_current,rarebench,10,10,0.8,0.8,0.8,0,0,0
notebook46_current,rarebench,15,10,0.8,0.8,0.8,0,0,0
source_weighted_pool_top1_diagnostic,ddxplus,5,10,0.6,0.6,0.6,0,0,0
source_weighted_pool_top1_diagnostic,ddxplus,10,10,0.7,0.8,0.9,0,0,0
source_weighted_pool_top1_diagnostic,ddxplus,15,10,0.8,0.9,0.9,0,0,0
source_weighted_pool_top1_diagnostic,icraft_md,5,10,0.9,1.0,1.0,0,0,0
source_weighted_pool_top1_diagnostic,icraft_md,10,10,1.0,1.0,1.0,0,0,0
source_weighted_pool_top1_diagnostic,icraft_md,15,10,0.9,1.0,1.0,0,0,0
source_weighted_pool_top1_diagnostic,rarebench,5,10,0.8,0.8,0.8,0,0,0
source_weighted_pool_top1_diagnostic,rarebench,10,10,0.8,0.8,0.9,0,0,0
source_weighted_pool_top1_diagnostic,rarebench,15,10,0.8,0.8,0.9,0,0,0
candidate_pool_oracle_diagnostic,ALL,-1,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,15,0,15
conservative_pool_educator_v1,ALL,-1,90,0.8333333333333334,0.8555555555555555,0.8555555555555555,2,0,2
ddxplus_graph_mlp_guard_v1,ALL,-1,90,0.8333333333333334,0.8555555555555555,0.8555555555555555,2,0,2
ddxplus_high_conf_mlp_guard_v1,ALL,-1,90,0.8333333333333334,0.8555555555555555,0.8555555555555555,2,0,2
notebook46_current,ALL,-1,90,0.8111111111111111,0.8555555555555555,0.8555555555555555,0,0,0
source_weighted_pool_top1_diagnostic,ALL,-1,90,0.8111111111111111,0.8555555555555555,0.8888888888888888,0,0,0
