policy_name,dataset_name,budget,num_workups,top1,top3,top5,wins_vs_current,regressions_vs_current,changed_predictions
case_blocked_hgb_candidate_educator_diagnostic,ALL,-1,90,0.8555555555555555,0.8888888888888888,0.9222222222222223,4,0,7
label_fit_hgb_candidate_educator_diagnostic,ALL,-1,90,0.9555555555555556,0.9777777777777777,0.9777777777777777,13,0,15
label_fit_logistic_candidate_educator_diagnostic,ALL,-1,90,0.8666666666666667,0.9666666666666667,0.9777777777777777,5,0,6
case_blocked_hgb_candidate_educator_diagnostic,ddxplus,5,10,0.7,0.8,0.9,1,0,4
case_blocked_hgb_candidate_educator_diagnostic,ddxplus,10,10,0.9,0.9,0.9,2,0,2
case_blocked_hgb_candidate_educator_diagnostic,ddxplus,15,10,0.9,0.9,0.9,1,0,1
case_blocked_hgb_candidate_educator_diagnostic,icraft_md,5,10,0.9,1.0,1.0,0,0,0
case_blocked_hgb_candidate_educator_diagnostic,icraft_md,10,10,1.0,1.0,1.0,0,0,0
case_blocked_hgb_candidate_educator_diagnostic,icraft_md,15,10,0.9,1.0,1.0,0,0,0
case_blocked_hgb_candidate_educator_diagnostic,rarebench,5,10,0.8,0.8,0.9,0,0,0
case_blocked_hgb_candidate_educator_diagnostic,rarebench,10,10,0.8,0.8,0.8,0,0,0
case_blocked_hgb_candidate_educator_diagnostic,rarebench,15,10,0.8,0.8,0.9,0,0,0
label_fit_hgb_candidate_educator_diagnostic,ddxplus,5,10,1.0,1.0,1.0,4,0,4
label_fit_hgb_candidate_educator_diagnostic,ddxplus,10,10,1.0,1.0,1.0,3,0,3
label_fit_hgb_candidate_educator_diagnostic,ddxplus,15,10,0.9,0.9,0.9,1,0,2
label_fit_hgb_candidate_educator_diagnostic,icraft_md,5,10,0.9,1.0,1.0,0,0,0
label_fit_hgb_candidate_educator_diagnostic,icraft_md,10,10,1.0,1.0,1.0,0,0,0
label_fit_hgb_candidate_educator_diagnostic,icraft_md,15,10,0.9,1.0,1.0,0,0,0
label_fit_hgb_candidate_educator_diagnostic,rarebench,5,10,1.0,1.0,1.0,2,0,2
label_fit_hgb_candidate_educator_diagnostic,rarebench,10,10,0.9,0.9,0.9,1,0,2
label_fit_hgb_candidate_educator_diagnostic,rarebench,15,10,1.0,1.0,1.0,2,0,2
label_fit_logistic_candidate_educator_diagnostic,ddxplus,5,10,0.8,0.9,1.0,2,0,3
label_fit_logistic_candidate_educator_diagnostic,ddxplus,10,10,0.9,1.0,1.0,2,0,2
label_fit_logistic_candidate_educator_diagnostic,ddxplus,15,10,0.9,0.9,0.9,1,0,1
label_fit_logistic_candidate_educator_diagnostic,icraft_md,5,10,0.9,1.0,1.0,0,0,0
label_fit_logistic_candidate_educator_diagnostic,icraft_md,10,10,1.0,1.0,1.0,0,0,0
label_fit_logistic_candidate_educator_diagnostic,icraft_md,15,10,0.9,1.0,1.0,0,0,0
label_fit_logistic_candidate_educator_diagnostic,rarebench,5,10,0.8,1.0,1.0,0,0,0
label_fit_logistic_candidate_educator_diagnostic,rarebench,10,10,0.8,0.9,0.9,0,0,0
label_fit_logistic_candidate_educator_diagnostic,rarebench,15,10,0.8,1.0,1.0,0,0,0
