dataset_name,budget,split,failure_type,num_workups
ddxplus,5,test,already_correct,15
ddxplus,5,test,candidate_pool_recovered_truth,3
ddxplus,5,test,resolver_failure_truth_already_in_current_pool,2
ddxplus,5,train,already_correct,43
ddxplus,5,train,candidate_pool_recovered_truth,5
ddxplus,5,train,remaining_pool_miss,2
ddxplus,5,train,resolver_failure_truth_already_in_current_pool,10
ddxplus,5,validate,already_correct,14
ddxplus,5,validate,candidate_pool_recovered_truth,2
ddxplus,5,validate,remaining_pool_miss,1
ddxplus,5,validate,resolver_failure_truth_already_in_current_pool,3
ddxplus,10,test,already_correct,17
ddxplus,10,test,candidate_pool_recovered_truth,2
ddxplus,10,test,resolver_failure_truth_already_in_current_pool,1
ddxplus,10,train,already_correct,43
ddxplus,10,train,candidate_pool_recovered_truth,8
ddxplus,10,train,resolver_failure_truth_already_in_current_pool,9
ddxplus,10,validate,already_correct,18
ddxplus,10,validate,resolver_failure_truth_already_in_current_pool,2
ddxplus,15,test,already_correct,18
ddxplus,15,test,candidate_pool_recovered_truth,1
ddxplus,15,test,resolver_failure_truth_already_in_current_pool,1
ddxplus,15,train,already_correct,44
ddxplus,15,train,candidate_pool_recovered_truth,7
ddxplus,15,train,remaining_pool_miss,1
ddxplus,15,train,resolver_failure_truth_already_in_current_pool,8
ddxplus,15,validate,already_correct,17
ddxplus,15,validate,candidate_pool_recovered_truth,1
ddxplus,15,validate,resolver_failure_truth_already_in_current_pool,2
icraft_md,5,test,already_correct,19
icraft_md,5,test,resolver_failure_truth_already_in_current_pool,1
icraft_md,5,train,already_correct,55
icraft_md,5,train,resolver_failure_truth_already_in_current_pool,5
icraft_md,5,validate,already_correct,19
icraft_md,5,validate,resolver_failure_truth_already_in_current_pool,1
icraft_md,10,test,already_correct,19
icraft_md,10,test,resolver_failure_truth_already_in_current_pool,1
icraft_md,10,train,already_correct,56
icraft_md,10,train,resolver_failure_truth_already_in_current_pool,4
icraft_md,10,validate,already_correct,19
icraft_md,10,validate,resolver_failure_truth_already_in_current_pool,1
icraft_md,15,test,already_correct,19
icraft_md,15,test,resolver_failure_truth_already_in_current_pool,1
icraft_md,15,train,already_correct,55
icraft_md,15,train,resolver_failure_truth_already_in_current_pool,5
icraft_md,15,validate,already_correct,19
icraft_md,15,validate,resolver_failure_truth_already_in_current_pool,1
rarebench,5,test,already_correct,15
rarebench,5,test,candidate_pool_recovered_truth,3
rarebench,5,test,resolver_failure_truth_already_in_current_pool,2
rarebench,5,train,already_correct,42
rarebench,5,train,candidate_pool_recovered_truth,3
rarebench,5,train,remaining_pool_miss,7
rarebench,5,train,resolver_failure_truth_already_in_current_pool,8
rarebench,5,validate,already_correct,13
rarebench,5,validate,candidate_pool_recovered_truth,3
rarebench,5,validate,remaining_pool_miss,2
rarebench,5,validate,resolver_failure_truth_already_in_current_pool,2
rarebench,10,test,already_correct,14
rarebench,10,test,candidate_pool_recovered_truth,5
rarebench,10,test,resolver_failure_truth_already_in_current_pool,1
rarebench,10,train,already_correct,41
rarebench,10,train,candidate_pool_recovered_truth,3
rarebench,10,train,remaining_pool_miss,8
rarebench,10,train,resolver_failure_truth_already_in_current_pool,8
rarebench,10,validate,already_correct,14
rarebench,10,validate,candidate_pool_recovered_truth,2
rarebench,10,validate,remaining_pool_miss,3
rarebench,10,validate,resolver_failure_truth_already_in_current_pool,1
rarebench,15,test,already_correct,14
rarebench,15,test,candidate_pool_recovered_truth,5
rarebench,15,test,resolver_failure_truth_already_in_current_pool,1
rarebench,15,train,already_correct,41
rarebench,15,train,candidate_pool_recovered_truth,1
rarebench,15,train,remaining_pool_miss,8
rarebench,15,train,resolver_failure_truth_already_in_current_pool,10
rarebench,15,validate,already_correct,12
rarebench,15,validate,candidate_pool_recovered_truth,3
rarebench,15,validate,remaining_pool_miss,2
rarebench,15,validate,resolver_failure_truth_already_in_current_pool,3
