feature,coefficient,abs_coefficient
num__final_top5,-1.815902747394873,1.815902747394873
num__rarebench_hpo_max_idf_fraction_minus_max,1.4331455311357537,1.4331455311357537
num__llm_top3,1.4260281248491904,1.4260281248491904
num__resolver_score_rank_within_pool,1.1794799747158093,1.1794799747158093
num__ddxplus_bayes_posterior,1.1361380275983743,1.1361380275983743
num__pool_rank,1.0585294582743505,1.0585294582743505
num__independent_signal_count_rank_within_pool,1.0426502874807235,1.0426502874807235
num__base_llm_confidence_value,1.0200010026618476,1.0200010026618476
num__rarebench_hpo_max_jaccard_pool_minmax,-0.9795201319723229,0.9795201319723229
num__rarebench_hpo_max_jaccard_minus_max,0.9608672391777124,0.9608672391777124
num__ddxplus_bayes_log_score_rank_within_pool,-0.9567039938764792,0.9567039938764792
num__ddxplus_bayes_posterior_rank_within_pool,-0.9553414772054517,0.9553414772054517
num__final_top3,-0.8897378459954146,0.8897378459954146
num__rarebench_hpo_max_idf_fraction_rank_within_pool,0.8868353322832763,0.8868353322832763
num__candidate_label_current_overlap_fraction,-0.7572479703134165,0.7572479703134165
num__ddxplus_graph_posterior,0.7515930741745562,0.7515930741745562
num__rarebench_hpo_no_reference,0.7043013964104903,0.7043013964104903
num__allowed_list_size,0.6993959983222047,0.6993959983222047
num__candidate_label_visible_overlap_fraction_pool_minmax,-0.689874270522218,0.689874270522218
num__ddxplus_bayes_log_score_pool_minmax,0.6831752220775837,0.6831752220775837
num__icraft_no_reference,0.6579235298069724,0.6579235298069724
num__candidate_label_visible_overlap_fraction_rank_within_pool,-0.6357589360254292,0.6357589360254292
num__casebase_prior_top_score,-0.6078340603613898,0.6078340603613898
num__candidate_label_visible_overlap_fraction_minus_max,-0.6076631112441792,0.6076631112441792
num__casebase_prior_value_minus_max,0.5861062208436267,0.5861062208436267
num__support_count_rank_within_pool,-0.5845779856977154,0.5845779856977154
num__casebase_prior_margin,-0.57868673656302,0.57868673656302
num__rarebench_hpo_max_overlap_rank_within_pool,-0.5652661584711195,0.5652661584711195
num__ddxplus_graph_positive_support,-0.5488117874387091,0.5488117874387091
num__icraft_tfidf_max_similarity_minus_max,0.5471851063300346,0.5471851063300346
num__rarebench_hpo_mean_overlap,0.5449514916657613,0.5449514916657613
num__resolver_score_minus_max,0.5183193860542772,0.5183193860542772
num__llm_top5,-0.5077135708445158,0.5077135708445158
num__ddxplus_graph_posterior_rank_within_pool,0.5022346990001202,0.5022346990001202
num__ddxplus_graph_score_rank_within_pool,0.5008298472265001,0.5008298472265001
num__rarebench_hpo_max_idf_fraction,0.4994990593855873,0.4994990593855873
num__ddxplus_bayes_log_score_minus_max,0.4968072392064715,0.4968072392064715
num__candidate_label_token_count,-0.48375772789381316,0.48375772789381316
num__rarebench_hpo_max_overlap_pool_minmax,-0.4826374205746631,0.4826374205746631
num__rarebench_graph_margin,0.4797502903880275,0.4797502903880275
num__ddxplus_graph_rank,0.47921079719717213,0.47921079719717213
num__rarebench_graph_value_minus_max,0.47775245276264255,0.47775245276264255
num__icraft_tfidf_mean_similarity_rank_within_pool,0.46940138967807216,0.46940138967807216
num__icraft_tfidf_max_similarity_rank_within_pool,0.46940138967807216,0.46940138967807216
num__rarebench_hpo_max_jaccard_rank_within_pool,0.4678872083740217,0.4678872083740217
num__final_rank,0.4632738576204596,0.4632738576204596
num__ddxplus_graph_posterior_minus_max,0.4594091076519511,0.4594091076519511
num__rarebench_hpo_mean_jaccard,0.4498168301938619,0.4498168301938619
num__ddxplus_bayes_posterior_minus_max,0.43829492665951064,0.43829492665951064
num__support_count_minus_max,0.42637762137263907,0.42637762137263907
num__ddxplus_graph_score_norm,0.4151561849998755,0.4151561849998755
num__resolver_score,0.41431160361397856,0.41431160361397856
num__ddxplus_bayes_top1,-0.412006350891182,0.412006350891182
