policy_name,dataset_name,budget,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions
augmented_weighted_signal_top1_diagnostic,ALL,-1,90,74.0,0.8222222222222222,78.0,0.8666666666666667,79.0,0.8777777777777778,1,0,1
augmented_weighted_signal_top1_diagnostic,ddxplus,5,10,6.0,0.6,6.0,0.6,7.0,0.7,0,0,0
augmented_weighted_signal_top1_diagnostic,ddxplus,10,10,8.0,0.8,9.0,0.9,9.0,0.9,1,0,1
augmented_weighted_signal_top1_diagnostic,ddxplus,15,10,8.0,0.8,9.0,0.9,9.0,0.9,0,0,0
augmented_weighted_signal_top1_diagnostic,icraft_md,5,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
augmented_weighted_signal_top1_diagnostic,icraft_md,10,10,10.0,1.0,10.0,1.0,10.0,1.0,0,0,0
augmented_weighted_signal_top1_diagnostic,icraft_md,15,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
augmented_weighted_signal_top1_diagnostic,rarebench,5,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
augmented_weighted_signal_top1_diagnostic,rarebench,10,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
augmented_weighted_signal_top1_diagnostic,rarebench,15,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
calibrated_augmented_signal_resolver_v1,ALL,-1,90,77.0,0.8555555555555555,83.0,0.9222222222222223,83.0,0.9222222222222223,4,0,5
calibrated_augmented_signal_resolver_v1,ddxplus,5,10,7.0,0.7,9.0,0.9,9.0,0.9,1,0,2
calibrated_augmented_signal_resolver_v1,ddxplus,10,10,9.0,0.9,9.0,0.9,9.0,0.9,2,0,2
calibrated_augmented_signal_resolver_v1,ddxplus,15,10,9.0,0.9,9.0,0.9,9.0,0.9,1,0,1
calibrated_augmented_signal_resolver_v1,icraft_md,5,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
calibrated_augmented_signal_resolver_v1,icraft_md,10,10,10.0,1.0,10.0,1.0,10.0,1.0,0,0,0
calibrated_augmented_signal_resolver_v1,icraft_md,15,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
calibrated_augmented_signal_resolver_v1,rarebench,5,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
calibrated_augmented_signal_resolver_v1,rarebench,10,10,8.0,0.8,9.0,0.9,9.0,0.9,0,0,0
calibrated_augmented_signal_resolver_v1,rarebench,15,10,8.0,0.8,9.0,0.9,9.0,0.9,0,0,0
case_blocked_augmented_logistic_top1_diagnostic,ALL,-1,90,75.0,0.8333333333333334,83.0,0.9222222222222223,83.0,0.9222222222222223,4,2,9
case_blocked_augmented_logistic_top1_diagnostic,ddxplus,5,10,7.0,0.7,9.0,0.9,9.0,0.9,1,0,3
case_blocked_augmented_logistic_top1_diagnostic,ddxplus,10,10,9.0,0.9,9.0,0.9,9.0,0.9,2,0,2
case_blocked_augmented_logistic_top1_diagnostic,ddxplus,15,10,8.0,0.8,9.0,0.9,9.0,0.9,1,1,3
case_blocked_augmented_logistic_top1_diagnostic,icraft_md,5,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
case_blocked_augmented_logistic_top1_diagnostic,icraft_md,10,10,10.0,1.0,10.0,1.0,10.0,1.0,0,0,0
case_blocked_augmented_logistic_top1_diagnostic,icraft_md,15,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
case_blocked_augmented_logistic_top1_diagnostic,rarebench,5,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
case_blocked_augmented_logistic_top1_diagnostic,rarebench,10,10,7.0,0.7,9.0,0.9,9.0,0.9,0,1,1
case_blocked_augmented_logistic_top1_diagnostic,rarebench,15,10,8.0,0.8,9.0,0.9,9.0,0.9,0,0,0
notebook46_current,ALL,-1,90,73.0,0.8111111111111111,77.0,0.8555555555555555,77.0,0.8555555555555555,0,0,0
notebook46_current,ddxplus,5,10,6.0,0.6,6.0,0.6,6.0,0.6,0,0,0
notebook46_current,ddxplus,10,10,7.0,0.7,8.0,0.8,8.0,0.8,0,0,0
notebook46_current,ddxplus,15,10,8.0,0.8,9.0,0.9,9.0,0.9,0,0,0
notebook46_current,icraft_md,5,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
notebook46_current,icraft_md,10,10,10.0,1.0,10.0,1.0,10.0,1.0,0,0,0
notebook46_current,icraft_md,15,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
notebook46_current,rarebench,5,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
notebook46_current,rarebench,10,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
notebook46_current,rarebench,15,10,8.0,0.8,8.0,0.8,8.0,0.8,0,0,0
calibrated_logistic_pool_resolver_v1,ALL,-1,90,,0.8666666666666667,,0.8888888888888888,,0.9,5,0,7
calibrated_logistic_pool_resolver_v1,ddxplus,5,10,,0.8,,0.8,,0.9,2,0,3
calibrated_logistic_pool_resolver_v1,ddxplus,10,10,,0.9,,0.9,,0.9,2,0,2
calibrated_logistic_pool_resolver_v1,ddxplus,15,10,,0.9,,0.9,,0.9,1,0,2
calibrated_logistic_pool_resolver_v1,icraft_md,5,10,,0.9,,1.0,,1.0,0,0,0
calibrated_logistic_pool_resolver_v1,icraft_md,10,10,,1.0,,1.0,,1.0,0,0,0
calibrated_logistic_pool_resolver_v1,icraft_md,15,10,,0.9,,1.0,,1.0,0,0,0
calibrated_logistic_pool_resolver_v1,rarebench,5,10,,0.8,,0.8,,0.8,0,0,0
calibrated_logistic_pool_resolver_v1,rarebench,10,10,,0.8,,0.8,,0.8,0,0,0
calibrated_logistic_pool_resolver_v1,rarebench,15,10,,0.8,,0.8,,0.8,0,0,0
strict_nested_threshold_logistic_diagnostic,ALL,-1,90,,0.8555555555555555,,0.8888888888888888,,0.9,4,0,5
strict_nested_threshold_logistic_diagnostic,ddxplus,5,10,,0.8,,0.8,,0.9,2,0,2
strict_nested_threshold_logistic_diagnostic,ddxplus,10,10,,0.8,,0.9,,0.9,1,0,1
strict_nested_threshold_logistic_diagnostic,ddxplus,15,10,,0.9,,0.9,,0.9,1,0,2
strict_nested_threshold_logistic_diagnostic,icraft_md,5,10,,0.9,,1.0,,1.0,0,0,0
strict_nested_threshold_logistic_diagnostic,icraft_md,10,10,,1.0,,1.0,,1.0,0,0,0
strict_nested_threshold_logistic_diagnostic,icraft_md,15,10,,0.9,,1.0,,1.0,0,0,0
strict_nested_threshold_logistic_diagnostic,rarebench,5,10,,0.8,,0.8,,0.8,0,0,0
strict_nested_threshold_logistic_diagnostic,rarebench,10,10,,0.8,,0.8,,0.8,0,0,0
strict_nested_threshold_logistic_diagnostic,rarebench,15,10,,0.8,,0.8,,0.8,0,0,0
candidate_pool_oracle_diagnostic,ddxplus,5,10,,1.0,,1.0,,1.0,4,0,4
candidate_pool_oracle_diagnostic,ddxplus,10,10,,1.0,,1.0,,1.0,3,0,3
candidate_pool_oracle_diagnostic,ddxplus,15,10,,0.9,,0.9,,0.9,1,0,1
candidate_pool_oracle_diagnostic,icraft_md,5,10,,1.0,,1.0,,1.0,1,0,1
candidate_pool_oracle_diagnostic,icraft_md,10,10,,1.0,,1.0,,1.0,0,0,0
candidate_pool_oracle_diagnostic,icraft_md,15,10,,1.0,,1.0,,1.0,1,0,1
candidate_pool_oracle_diagnostic,rarebench,5,10,,1.0,,1.0,,1.0,2,0,2
candidate_pool_oracle_diagnostic,rarebench,10,10,,0.9,,0.9,,0.9,1,0,1
candidate_pool_oracle_diagnostic,rarebench,15,10,,1.0,,1.0,,1.0,2,0,2
candidate_pool_oracle_diagnostic,ALL,-1,90,,0.9777777777777776,,0.9777777777777776,,0.9777777777777776,15,0,15
label_fit_augmented_logistic_top1_diagnostic,ALL,-1,90,85.0,0.9444444444444444,88.0,0.9777777777777777,88.0,0.9777777777777777,12,0,13
label_fit_augmented_logistic_top1_diagnostic,ddxplus,5,10,10.0,1.0,10.0,1.0,10.0,1.0,4,0,4
label_fit_augmented_logistic_top1_diagnostic,ddxplus,10,10,10.0,1.0,10.0,1.0,10.0,1.0,3,0,3
label_fit_augmented_logistic_top1_diagnostic,ddxplus,15,10,9.0,0.9,9.0,0.9,9.0,0.9,1,0,2
label_fit_augmented_logistic_top1_diagnostic,icraft_md,5,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
label_fit_augmented_logistic_top1_diagnostic,icraft_md,10,10,10.0,1.0,10.0,1.0,10.0,1.0,0,0,0
label_fit_augmented_logistic_top1_diagnostic,icraft_md,15,10,9.0,0.9,10.0,1.0,10.0,1.0,0,0,0
label_fit_augmented_logistic_top1_diagnostic,rarebench,5,10,9.0,0.9,10.0,1.0,10.0,1.0,1,0,1
label_fit_augmented_logistic_top1_diagnostic,rarebench,10,10,9.0,0.9,9.0,0.9,9.0,0.9,1,0,1
label_fit_augmented_logistic_top1_diagnostic,rarebench,15,10,10.0,1.0,10.0,1.0,10.0,1.0,2,0,2
