policy_name,cohort,dataset_name,budget,split,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions,candidate_pool_recall,mean_candidate_pool_size
notebook51_current_live,scale_meddx100,ALL,-1,ALL,900,715,0.7944444444444444,773,0.8588888888888889,791,0.8788888888888889,0,0,0,,
notebook51_current_live,scale_meddx100,ddxplus,5,ALL,100,72,0.72,80,0.8,85,0.85,0,0,0,,
notebook51_current_live,scale_meddx100,ddxplus,10,ALL,100,78,0.78,84,0.84,87,0.87,0,0,0,,
notebook51_current_live,scale_meddx100,ddxplus,15,ALL,100,79,0.79,85,0.85,89,0.89,0,0,0,,
notebook51_current_live,scale_meddx100,icraft_md,5,ALL,100,93,0.93,100,1.0,100,1.0,0,0,0,,
notebook51_current_live,scale_meddx100,icraft_md,10,ALL,100,94,0.94,100,1.0,100,1.0,0,0,0,,
notebook51_current_live,scale_meddx100,icraft_md,15,ALL,100,93,0.93,99,0.99,100,1.0,0,0,0,,
notebook51_current_live,scale_meddx100,rarebench,5,ALL,100,70,0.7,75,0.75,78,0.78,0,0,0,,
notebook51_current_live,scale_meddx100,rarebench,10,ALL,100,69,0.69,75,0.75,75,0.75,0,0,0,,
notebook51_current_live,scale_meddx100,rarebench,15,ALL,100,67,0.67,75,0.75,77,0.77,0,0,0,,
notebook51_current_live,scale_meddx100,ALL,-1,test,180,150,0.8333333333333334,157,0.8722222222222222,160,0.8888888888888888,0,0,0,,
notebook51_current_live,scale_meddx100,ALL,-1,train,540,420,0.7777777777777778,463,0.8574074074074074,474,0.8777777777777778,0,0,0,,
notebook51_current_live,scale_meddx100,ALL,-1,validate,180,145,0.8055555555555556,153,0.85,157,0.8722222222222222,0,0,0,,
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ALL,-1,ALL,900,866,0.9622222222222222,866,0.9622222222222222,866,0.9622222222222222,151,0,151,0.9622222222222222,13.015555555555556
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ddxplus,5,ALL,100,97,0.97,97,0.97,97,0.97,25,0,25,0.97,19.33
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ddxplus,10,ALL,100,100,1.0,100,1.0,100,1.0,22,0,22,1.0,20.06
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ddxplus,15,ALL,100,99,0.99,99,0.99,99,0.99,20,0,20,0.99,20.42
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,icraft_md,5,ALL,100,100,1.0,100,1.0,100,1.0,7,0,7,1.0,4.0
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,icraft_md,10,ALL,100,100,1.0,100,1.0,100,1.0,6,0,6,1.0,4.0
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,icraft_md,15,ALL,100,100,1.0,100,1.0,100,1.0,7,0,7,1.0,4.0
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,rarebench,5,ALL,100,91,0.91,91,0.91,91,0.91,21,0,21,0.91,15.09
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,rarebench,10,ALL,100,89,0.89,89,0.89,89,0.89,20,0,20,0.89,15.07
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,rarebench,15,ALL,100,90,0.9,90,0.9,90,0.9,23,0,23,0.9,15.17
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ALL,-1,test,180,180,1.0,180,1.0,180,1.0,30,0,30,1.0,13.266666666666667
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ALL,-1,train,540,514,0.9518518518518518,514,0.9518518518518518,514,0.9518518518518518,94,0,94,0.9518518518518518,12.983333333333333
recovered_candidate_pool_oracle_non_deployable,scale_meddx100,ALL,-1,validate,180,172,0.9555555555555556,172,0.9555555555555556,172,0.9555555555555556,27,0,27,0.9555555555555556,12.86111111111111
recovered_pool_logistic_evidence_card_resolver_v1,scale_meddx100,ALL,-1,ALL,900,742,0.8244444444444444,811,0.9011111111111111,829,0.9211111111111111,27,0,45,0.9622222222222222,13.015555555555556
recovered_pool_logistic_evidence_card_resolver_v1,scale_meddx100,ddxplus,5,ALL,100,77,0.77,86,0.86,90,0.9,5,0,11,0.97,19.33
recovered_pool_logistic_evidence_card_resolver_v1,scale_meddx100,ddxplus,10,ALL,100,84,0.84,88,0.88,93,0.93,6,0,10,1.0,20.06
