cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
prospective90,current_pool,ALL,-1,ALL,9,8,0.8888888888888888,8,0.8888888888888888,0,0,6.666666666666667,8.0,8.0,0.0,7.0
prospective90,current_pool,ddxplus,5,ALL,1,0,0.0,0,0.0,0,0,8.0,8.0,8.0,0.0,5.0
prospective90,current_pool,ddxplus,10,ALL,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,10.0
prospective90,current_pool,ddxplus,15,ALL,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,14.0
prospective90,current_pool,icraft_md,5,ALL,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,5.0
prospective90,current_pool,icraft_md,10,ALL,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,current_pool,icraft_md,15,ALL,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,current_pool,rarebench,5,ALL,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,5.0
prospective90,current_pool,rarebench,10,ALL,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,6.0
prospective90,current_pool,rarebench,15,ALL,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,6.0
prospective90,current_pool,ALL,-1,train,9,8,0.8888888888888888,8,0.8888888888888888,0,0,6.666666666666667,8.0,8.0,0.0,7.0
prospective90,current_pool,ddxplus,5,train,1,0,0.0,0,0.0,0,0,8.0,8.0,8.0,0.0,5.0
prospective90,current_pool,ddxplus,10,train,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,10.0
prospective90,current_pool,ddxplus,15,train,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,14.0
prospective90,current_pool,icraft_md,5,train,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,5.0
prospective90,current_pool,icraft_md,10,train,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,current_pool,icraft_md,15,train,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,current_pool,rarebench,5,train,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,5.0
prospective90,current_pool,rarebench,10,train,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,6.0
prospective90,current_pool,rarebench,15,train,1,1,1.0,1,1.0,0,0,8.0,8.0,8.0,0.0,6.0
prospective90,saved_plus_ddx_bayes10,ALL,-1,ALL,9,9,1.0,8,0.8888888888888888,1,0,13.444444444444445,17.0,20.2,6.777777777777778,7.0
prospective90,saved_plus_ddx_bayes10,ddxplus,5,ALL,1,1,1.0,0,0.0,1,0,21.0,21.0,21.0,13.0,5.0
prospective90,saved_plus_ddx_bayes10,ddxplus,10,ALL,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,10.0
prospective90,saved_plus_ddx_bayes10,ddxplus,15,ALL,1,1,1.0,1,1.0,0,0,20.0,20.0,20.0,12.0,14.0
prospective90,saved_plus_ddx_bayes10,icraft_md,5,ALL,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,5.0
prospective90,saved_plus_ddx_bayes10,icraft_md,10,ALL,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,saved_plus_ddx_bayes10,icraft_md,15,ALL,1,1,1.0,1,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,saved_plus_ddx_bayes10,rarebench,5,ALL,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,5.0
prospective90,saved_plus_ddx_bayes10,rarebench,10,ALL,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,6.0
prospective90,saved_plus_ddx_bayes10,rarebench,15,ALL,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,6.0
