cohort,dataset_name,budget,split,workups,current_top1,current_top3,current_top5,current_pool_recall,mean_pool_size,mean_questions
prospective90,ddxplus,5,test,2,1,2,2,2,8.0,4.0
prospective90,ddxplus,5,train,6,6,6,6,6,8.0,4.666666666666667
prospective90,ddxplus,5,validate,2,2,2,2,2,8.0,5.0
prospective90,ddxplus,10,test,2,1,1,2,2,8.0,7.0
prospective90,ddxplus,10,train,6,6,6,6,6,8.0,6.5
prospective90,ddxplus,10,validate,2,2,2,2,2,8.0,10.0
prospective90,ddxplus,15,test,2,1,1,2,2,8.0,10.0
prospective90,ddxplus,15,train,6,6,6,6,6,8.0,7.833333333333333
prospective90,ddxplus,15,validate,2,2,2,2,2,8.0,12.5
prospective90,icraft_md,5,test,2,2,2,2,2,4.0,4.0
prospective90,icraft_md,5,train,6,4,6,6,6,4.0,3.5
prospective90,icraft_md,5,validate,2,2,2,2,2,4.0,4.0
prospective90,icraft_md,10,test,2,1,2,2,2,4.0,4.5
prospective90,icraft_md,10,train,6,4,6,6,6,4.0,4.5
prospective90,icraft_md,10,validate,2,2,2,2,2,4.0,8.0
prospective90,icraft_md,15,test,2,1,2,2,2,4.0,6.0
prospective90,icraft_md,15,train,6,4,6,6,6,4.0,5.166666666666667
prospective90,icraft_md,15,validate,2,2,2,2,2,4.0,9.0
prospective90,rarebench,5,test,2,1,2,2,2,8.0,3.0
prospective90,rarebench,5,train,6,2,2,3,3,8.0,3.8333333333333335
prospective90,rarebench,5,validate,2,1,1,1,2,8.0,4.0
prospective90,rarebench,10,test,2,1,1,1,2,8.0,4.0
prospective90,rarebench,10,train,6,1,2,4,4,8.0,6.333333333333333
prospective90,rarebench,10,validate,2,1,1,1,2,8.0,6.0
prospective90,rarebench,15,test,2,1,2,2,2,8.0,5.5
prospective90,rarebench,15,train,6,1,2,3,3,8.0,5.833333333333333
prospective90,rarebench,15,validate,2,2,2,2,2,8.0,7.0
