cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
prospective90,current_pool,ALL,-1,ALL,90,82,0.9111111111111111,82,0.9111111111111111,0,0,6.666666666666667,8.0,8.0,0.0,5.733333333333333
prospective90,current_pool,ddxplus,5,ALL,10,10,1.0,10,1.0,0,0,8.0,8.0,8.0,0.0,4.6
prospective90,current_pool,ddxplus,10,ALL,10,10,1.0,10,1.0,0,0,8.0,8.0,8.0,0.0,7.3
prospective90,current_pool,ddxplus,15,ALL,10,10,1.0,10,1.0,0,0,8.0,8.0,8.0,0.0,9.2
prospective90,current_pool,icraft_md,5,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.7
prospective90,current_pool,icraft_md,10,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,5.2
prospective90,current_pool,icraft_md,15,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
prospective90,current_pool,rarebench,5,ALL,10,7,0.7,7,0.7,0,0,8.0,8.0,8.0,0.0,3.7
prospective90,current_pool,rarebench,10,ALL,10,8,0.8,8,0.8,0,0,8.0,8.0,8.0,0.0,5.8
prospective90,current_pool,rarebench,15,ALL,10,7,0.7,7,0.7,0,0,8.0,8.0,8.0,0.0,6.0
prospective90,current_pool,ALL,-1,test,18,18,1.0,18,1.0,0,0,6.666666666666667,8.0,8.0,0.0,5.333333333333333
prospective90,current_pool,ALL,-1,train,54,46,0.8518518518518519,46,0.8518518518518519,0,0,6.666666666666667,8.0,8.0,0.0,5.351851851851852
prospective90,current_pool,ALL,-1,validate,18,18,1.0,18,1.0,0,0,6.666666666666667,8.0,8.0,0.0,7.277777777777778
prospective90,current_pool,ddxplus,5,test,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,4.0
prospective90,current_pool,ddxplus,5,train,6,6,1.0,6,1.0,0,0,8.0,8.0,8.0,0.0,4.666666666666667
prospective90,current_pool,ddxplus,5,validate,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,5.0
prospective90,current_pool,ddxplus,10,test,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,7.0
prospective90,current_pool,ddxplus,10,train,6,6,1.0,6,1.0,0,0,8.0,8.0,8.0,0.0,6.5
prospective90,current_pool,ddxplus,10,validate,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,10.0
prospective90,current_pool,ddxplus,15,test,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,10.0
prospective90,current_pool,ddxplus,15,train,6,6,1.0,6,1.0,0,0,8.0,8.0,8.0,0.0,7.833333333333333
prospective90,current_pool,ddxplus,15,validate,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,12.5
prospective90,current_pool,icraft_md,5,test,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,4.0
prospective90,current_pool,icraft_md,5,train,6,6,1.0,6,1.0,0,0,4.0,4.0,4.0,0.0,3.5
prospective90,current_pool,icraft_md,5,validate,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,4.0
prospective90,current_pool,icraft_md,10,test,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,4.5
prospective90,current_pool,icraft_md,10,train,6,6,1.0,6,1.0,0,0,4.0,4.0,4.0,0.0,4.5
prospective90,current_pool,icraft_md,10,validate,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,8.0
prospective90,current_pool,icraft_md,15,test,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,current_pool,icraft_md,15,train,6,6,1.0,6,1.0,0,0,4.0,4.0,4.0,0.0,5.166666666666667
prospective90,current_pool,icraft_md,15,validate,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,9.0
prospective90,current_pool,rarebench,5,test,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,3.0
prospective90,current_pool,rarebench,5,train,6,3,0.5,3,0.5,0,0,8.0,8.0,8.0,0.0,3.8333333333333335
prospective90,current_pool,rarebench,5,validate,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,4.0
prospective90,current_pool,rarebench,10,test,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,4.0
prospective90,current_pool,rarebench,10,train,6,4,0.6666666666666666,4,0.6666666666666666,0,0,8.0,8.0,8.0,0.0,6.333333333333333
prospective90,current_pool,rarebench,10,validate,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,6.0
prospective90,current_pool,rarebench,15,test,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,5.5
prospective90,current_pool,rarebench,15,train,6,3,0.5,3,0.5,0,0,8.0,8.0,8.0,0.0,5.833333333333333
prospective90,current_pool,rarebench,15,validate,2,2,1.0,2,1.0,0,0,8.0,8.0,8.0,0.0,7.0
prospective90,saved_plus_ddx_bayes10,ALL,-1,ALL,90,84,0.9333333333333333,82,0.9111111111111111,2,0,11.8,12.0,21.0,5.133333333333334,5.733333333333333
prospective90,saved_plus_ddx_bayes10,ddxplus,5,ALL,10,10,1.0,10,1.0,0,0,19.5,20.0,23.1,11.5,4.6
prospective90,saved_plus_ddx_bayes10,ddxplus,10,ALL,10,10,1.0,10,1.0,0,0,17.7,17.0,22.2,9.7,7.3
prospective90,saved_plus_ddx_bayes10,ddxplus,15,ALL,10,10,1.0,10,1.0,0,0,19.1,18.0,24.1,11.1,9.2
prospective90,saved_plus_ddx_bayes10,icraft_md,5,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.7
prospective90,saved_plus_ddx_bayes10,icraft_md,10,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,5.2
prospective90,saved_plus_ddx_bayes10,icraft_md,15,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
prospective90,saved_plus_ddx_bayes10,rarebench,5,ALL,10,8,0.8,7,0.7,1,0,12.5,12.0,14.1,4.5,3.7
prospective90,saved_plus_ddx_bayes10,rarebench,10,ALL,10,8,0.8,8,0.8,0,0,12.5,12.0,15.1,4.5,5.8
prospective90,saved_plus_ddx_bayes10,rarebench,15,ALL,10,8,0.8,7,0.7,1,0,12.9,12.5,15.0,4.9,6.0
prospective90,saved_plus_ddx_bayes10,ALL,-1,test,18,18,1.0,18,1.0,0,0,12.333333333333334,12.0,22.0,5.666666666666667,5.333333333333333
