dataset_name,case_id,split
ddxplus,test:57986,train
ddxplus,test:33259,train
ddxplus,test:13987,train
ddxplus,test:75758,train
ddxplus,test:118052,train
ddxplus,test:57286,train
ddxplus,test:48081,validate
ddxplus,test:106535,validate
ddxplus,test:62404,test
ddxplus,test:123251,test
icraft_md,icraft_md:27,train
icraft_md,icraft_md:23,train
icraft_md,icraft_md:57,train
icraft_md,icraft_md:134,train
icraft_md,icraft_md:19,train
icraft_md,icraft_md:89,train
icraft_md,icraft_md:83,validate
icraft_md,icraft_md:28,validate
icraft_md,icraft_md:112,test
icraft_md,icraft_md:54,test
rarebench,rarebench:LIRICAL:296,train
rarebench,rarebench:HMS:24,train
rarebench,rarebench:LIRICAL:137,train
rarebench,rarebench:LIRICAL:241,train
rarebench,rarebench:RAMEDIS:68,train
rarebench,rarebench:RAMEDIS:229,train
rarebench,rarebench:RAMEDIS:477,validate
rarebench,rarebench:HMS:65,validate
rarebench,rarebench:RAMEDIS:429,test
rarebench,rarebench:MME:23,test
