policy_name,cohort,dataset_name,budget,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions,candidate_pool_recall,mean_candidate_pool_size,mean_questions,mean_branch_count,mean_branch_questions
prospective_current_live,prospective90,ALL,-1,90,60,0.6666666666666666,73,0.8111111111111111,79,0.8777777777777778,0,0,0,,,5.733333333333333,0.4,0.7888888888888889
prospective_current_live,prospective90,ddxplus,5,10,9,0.9,10,1.0,10,1.0,0,0,0,,,4.6,0.4,0.8
prospective_current_live,prospective90,ddxplus,10,10,9,0.9,9,0.9,10,1.0,0,0,0,,,7.3,0.8,1.5
prospective_current_live,prospective90,ddxplus,15,10,9,0.9,9,0.9,10,1.0,0,0,0,,,9.2,1.2,2.4
prospective_current_live,prospective90,icraft_md,5,10,8,0.8,10,1.0,10,1.0,0,0,0,,,3.7,0.0,0.0
prospective_current_live,prospective90,icraft_md,10,10,7,0.7,10,1.0,10,1.0,0,0,0,,,5.2,0.0,0.0
prospective_current_live,prospective90,icraft_md,15,10,7,0.7,10,1.0,10,1.0,0,0,0,,,6.1,0.0,0.0
prospective_current_live,prospective90,rarebench,5,10,4,0.4,5,0.5,6,0.6,0,0,0,,,3.7,0.2,0.4
prospective_current_live,prospective90,rarebench,10,10,3,0.3,4,0.4,6,0.6,0,0,0,,,5.8,0.6,1.2
prospective_current_live,prospective90,rarebench,15,10,4,0.4,6,0.6,7,0.7,0,0,0,,,6.0,0.4,0.8
prospective_current_live,prospective90,ddxplus,-1,30,27,0.9,28,0.9333333333333333,30,1.0,0,0,0,,,7.033333333333333,0.8,1.5666666666666667
prospective_current_live,prospective90,icraft_md,-1,30,22,0.7333333333333333,30,1.0,30,1.0,0,0,0,,,5.0,0.0,0.0
prospective_current_live,prospective90,rarebench,-1,30,11,0.36666666666666664,15,0.5,19,0.6333333333333333,0,0,0,,,5.166666666666667,0.4,0.8
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ALL,-1,90,62,0.6888888888888889,81,0.9,81,0.9,2,0,3,0.9333333333333333,12.744444444444444,5.733333333333333,0.4,0.7888888888888889
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,5,10,9,0.9,10,1.0,10,1.0,0,0,0,1.0,19.5,4.6,0.4,0.8
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,10,10,9,0.9,10,1.0,10,1.0,0,0,1,1.0,17.7,7.3,0.8,1.5
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,15,10,10,1.0,10,1.0,10,1.0,1,0,1,1.0,19.1,9.2,1.2,2.4
integrated_recovered_pool_evidence_card_policy_v1,prospective90,icraft_md,5,10,8,0.8,10,1.0,10,1.0,0,0,0,1.0,4.0,3.7,0.0,0.0
