policy_name,dataset_name,budget,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions,mean_questions,candidate_pool_recall
notebook51_current_live,ALL,-1,900,715,0.7944444444444444,773,0.8588888888888889,791,0.8788888888888889,0,0,0,5.4655555555555555,0.8988888888888888
notebook51_current_live,ddxplus,5,100,72,0.72,80,0.8,85,0.85,0,0,0,4.42,0.87
notebook51_current_live,ddxplus,10,100,78,0.78,84,0.84,87,0.87,0,0,0,7.63,0.9
notebook51_current_live,ddxplus,15,100,79,0.79,85,0.85,89,0.89,0,0,0,9.69,0.9
notebook51_current_live,icraft_md,5,100,93,0.93,100,1.0,100,1.0,0,0,0,3.1,1.0
notebook51_current_live,icraft_md,10,100,94,0.94,100,1.0,100,1.0,0,0,0,4.18,1.0
notebook51_current_live,icraft_md,15,100,93,0.93,99,0.99,100,1.0,0,0,0,5.24,1.0
notebook51_current_live,rarebench,5,100,70,0.7,75,0.75,78,0.78,0,0,0,3.52,0.82
notebook51_current_live,rarebench,10,100,69,0.69,75,0.75,75,0.75,0,0,0,5.18,0.79
notebook51_current_live,rarebench,15,100,67,0.67,75,0.75,77,0.77,0,0,0,6.23,0.81
candidate_pool_oracle_non_deployable,ALL,-1,900,809,0.8988888888888888,809,0.8988888888888888,809,0.8988888888888888,94,0,94,5.4655555555555555,0.8988888888888888
candidate_pool_oracle_non_deployable,ddxplus,5,100,87,0.87,87,0.87,87,0.87,15,0,15,4.42,0.87
candidate_pool_oracle_non_deployable,ddxplus,10,100,90,0.9,90,0.9,90,0.9,12,0,12,7.63,0.9
candidate_pool_oracle_non_deployable,ddxplus,15,100,90,0.9,90,0.9,90,0.9,11,0,11,9.69,0.9
candidate_pool_oracle_non_deployable,icraft_md,5,100,100,1.0,100,1.0,100,1.0,7,0,7,3.1,1.0
candidate_pool_oracle_non_deployable,icraft_md,10,100,100,1.0,100,1.0,100,1.0,6,0,6,4.18,1.0
candidate_pool_oracle_non_deployable,icraft_md,15,100,100,1.0,100,1.0,100,1.0,7,0,7,5.24,1.0
candidate_pool_oracle_non_deployable,rarebench,5,100,82,0.82,82,0.82,82,0.82,12,0,12,3.52,0.82
candidate_pool_oracle_non_deployable,rarebench,10,100,79,0.79,79,0.79,79,0.79,10,0,10,5.18,0.79
candidate_pool_oracle_non_deployable,rarebench,15,100,81,0.81,81,0.81,81,0.81,14,0,14,6.23,0.81
notebook46_current_live,ALL,-1,90,73,0.8111111111111111,77,0.8555555555555555,77,0.8555555555555555,0,0,0,6.0777777777777775,0.9
notebook46_current_live,ddxplus,5,10,6,0.6,6,0.6,6,0.6,0,0,0,5.0,0.7
notebook46_current_live,ddxplus,10,10,7,0.7,8,0.8,8,0.8,0,0,0,9.0,0.8
notebook46_current_live,ddxplus,15,10,8,0.8,9,0.9,9,0.9,0,0,0,11.4,0.9
notebook46_current_live,icraft_md,5,10,9,0.9,10,1.0,10,1.0,0,0,0,3.2,1.0
notebook46_current_live,icraft_md,10,10,10,1.0,10,1.0,10,1.0,0,0,0,4.6,1.0
notebook46_current_live,icraft_md,15,10,9,0.9,10,1.0,10,1.0,0,0,0,6.1,1.0
notebook46_current_live,rarebench,5,10,8,0.8,8,0.8,8,0.8,0,0,0,3.5,0.9
notebook46_current_live,rarebench,10,10,8,0.8,8,0.8,8,0.8,0,0,0,5.4,0.9
notebook46_current_live,rarebench,15,10,8,0.8,8,0.8,8,0.8,0,0,0,6.5,0.9
transfer_candidate_pool_oracle_non_deployable,ALL,-1,90,81,0.9,81,0.9,81,0.9,8,0,8,6.0777777777777775,0.9
transfer_candidate_pool_oracle_non_deployable,ddxplus,5,10,7,0.7,7,0.7,7,0.7,1,0,1,5.0,0.7
transfer_candidate_pool_oracle_non_deployable,ddxplus,10,10,8,0.8,8,0.8,8,0.8,1,0,1,9.0,0.8
transfer_candidate_pool_oracle_non_deployable,ddxplus,15,10,9,0.9,9,0.9,9,0.9,1,0,1,11.4,0.9
transfer_candidate_pool_oracle_non_deployable,icraft_md,5,10,10,1.0,10,1.0,10,1.0,1,0,1,3.2,1.0
transfer_candidate_pool_oracle_non_deployable,icraft_md,10,10,10,1.0,10,1.0,10,1.0,0,0,0,4.6,1.0
transfer_candidate_pool_oracle_non_deployable,icraft_md,15,10,10,1.0,10,1.0,10,1.0,1,0,1,6.1,1.0
transfer_candidate_pool_oracle_non_deployable,rarebench,5,10,9,0.9,9,0.9,9,0.9,1,0,1,3.5,0.9
transfer_candidate_pool_oracle_non_deployable,rarebench,10,10,9,0.9,9,0.9,9,0.9,1,0,1,5.4,0.9
transfer_candidate_pool_oracle_non_deployable,rarebench,15,10,9,0.9,9,0.9,9,0.9,1,0,1,6.5,0.9
