policy_name,dataset_name,budget,failure_type,num_failures
notebook51_current_live,ddxplus,5,candidate_generation_miss,13
notebook51_current_live,ddxplus,5,resolver_failed_truth_in_pool,15
notebook51_current_live,ddxplus,10,candidate_generation_miss,10
notebook51_current_live,ddxplus,10,resolver_failed_truth_in_pool,12
notebook51_current_live,ddxplus,15,candidate_generation_miss,10
notebook51_current_live,ddxplus,15,resolver_failed_truth_in_pool,11
notebook51_current_live,icraft_md,5,resolver_failed_truth_in_pool,7
notebook51_current_live,icraft_md,10,resolver_failed_truth_in_pool,6
notebook51_current_live,icraft_md,15,resolver_failed_truth_in_pool,7
notebook51_current_live,rarebench,5,candidate_generation_miss,18
notebook51_current_live,rarebench,5,resolver_failed_truth_in_pool,12
notebook51_current_live,rarebench,10,candidate_generation_miss,21
notebook51_current_live,rarebench,10,resolver_failed_truth_in_pool,10
notebook51_current_live,rarebench,15,candidate_generation_miss,19
notebook51_current_live,rarebench,15,resolver_failed_truth_in_pool,14
selected_logistic_resolver_full_scale_fit_diagnostic,ddxplus,5,candidate_generation_miss,13
selected_logistic_resolver_full_scale_fit_diagnostic,ddxplus,5,resolver_failed_truth_in_pool,15
selected_logistic_resolver_full_scale_fit_diagnostic,ddxplus,10,candidate_generation_miss,10
selected_logistic_resolver_full_scale_fit_diagnostic,ddxplus,10,resolver_failed_truth_in_pool,11
selected_logistic_resolver_full_scale_fit_diagnostic,ddxplus,15,candidate_generation_miss,10
selected_logistic_resolver_full_scale_fit_diagnostic,ddxplus,15,resolver_failed_truth_in_pool,10
selected_logistic_resolver_full_scale_fit_diagnostic,icraft_md,5,resolver_failed_truth_in_pool,7
selected_logistic_resolver_full_scale_fit_diagnostic,icraft_md,10,resolver_failed_truth_in_pool,6
selected_logistic_resolver_full_scale_fit_diagnostic,icraft_md,15,resolver_failed_truth_in_pool,7
selected_logistic_resolver_full_scale_fit_diagnostic,rarebench,5,candidate_generation_miss,18
selected_logistic_resolver_full_scale_fit_diagnostic,rarebench,5,resolver_failed_truth_in_pool,9
selected_logistic_resolver_full_scale_fit_diagnostic,rarebench,10,candidate_generation_miss,21
selected_logistic_resolver_full_scale_fit_diagnostic,rarebench,10,resolver_failed_truth_in_pool,5
selected_logistic_resolver_full_scale_fit_diagnostic,rarebench,15,candidate_generation_miss,19
selected_logistic_resolver_full_scale_fit_diagnostic,rarebench,15,resolver_failed_truth_in_pool,9
selected_logistic_resolver_transfer_old90,ddxplus,5,candidate_generation_miss,3
selected_logistic_resolver_transfer_old90,ddxplus,5,resolver_failed_truth_in_pool,2
selected_logistic_resolver_transfer_old90,ddxplus,10,candidate_generation_miss,2
selected_logistic_resolver_transfer_old90,ddxplus,15,candidate_generation_miss,1
selected_logistic_resolver_transfer_old90,icraft_md,5,resolver_failed_truth_in_pool,1
selected_logistic_resolver_transfer_old90,icraft_md,15,resolver_failed_truth_in_pool,1
selected_logistic_resolver_transfer_old90,rarebench,5,candidate_generation_miss,1
selected_logistic_resolver_transfer_old90,rarebench,5,resolver_failed_truth_in_pool,1
selected_logistic_resolver_transfer_old90,rarebench,10,candidate_generation_miss,1
selected_logistic_resolver_transfer_old90,rarebench,10,resolver_failed_truth_in_pool,2
selected_logistic_resolver_transfer_old90,rarebench,15,candidate_generation_miss,1
selected_logistic_resolver_transfer_old90,rarebench,15,resolver_failed_truth_in_pool,2
