policy_name,dataset_name,budget,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions,mean_questions,candidate_pool_recall
notebook46_current_live,ALL,-1,90,73,0.8111111111111111,77,0.8555555555555555,77,0.8555555555555555,0,0,0,6.0777777777777775,0.9
notebook46_current_live,ddxplus,5,10,6,0.6,6,0.6,6,0.6,0,0,0,5.0,0.7
notebook46_current_live,ddxplus,10,10,7,0.7,8,0.8,8,0.8,0,0,0,9.0,0.8
notebook46_current_live,ddxplus,15,10,8,0.8,9,0.9,9,0.9,0,0,0,11.4,0.9
notebook46_current_live,icraft_md,5,10,9,0.9,10,1.0,10,1.0,0,0,0,3.2,1.0
notebook46_current_live,icraft_md,10,10,10,1.0,10,1.0,10,1.0,0,0,0,4.6,1.0
notebook46_current_live,icraft_md,15,10,9,0.9,10,1.0,10,1.0,0,0,0,6.1,1.0
notebook46_current_live,rarebench,5,10,8,0.8,8,0.8,8,0.8,0,0,0,3.5,0.9
notebook46_current_live,rarebench,10,10,8,0.8,8,0.8,8,0.8,0,0,0,5.4,0.9
notebook46_current_live,rarebench,15,10,8,0.8,8,0.8,8,0.8,0,0,0,6.5,0.9
transfer_candidate_pool_oracle_non_deployable,ALL,-1,90,81,0.9,81,0.9,81,0.9,8,0,8,6.0777777777777775,0.9
transfer_candidate_pool_oracle_non_deployable,ddxplus,5,10,7,0.7,7,0.7,7,0.7,1,0,1,5.0,0.7
transfer_candidate_pool_oracle_non_deployable,ddxplus,10,10,8,0.8,8,0.8,8,0.8,1,0,1,9.0,0.8
transfer_candidate_pool_oracle_non_deployable,ddxplus,15,10,9,0.9,9,0.9,9,0.9,1,0,1,11.4,0.9
transfer_candidate_pool_oracle_non_deployable,icraft_md,5,10,10,1.0,10,1.0,10,1.0,1,0,1,3.2,1.0
transfer_candidate_pool_oracle_non_deployable,icraft_md,10,10,10,1.0,10,1.0,10,1.0,0,0,0,4.6,1.0
transfer_candidate_pool_oracle_non_deployable,icraft_md,15,10,10,1.0,10,1.0,10,1.0,1,0,1,6.1,1.0
transfer_candidate_pool_oracle_non_deployable,rarebench,5,10,9,0.9,9,0.9,9,0.9,1,0,1,3.5,0.9
transfer_candidate_pool_oracle_non_deployable,rarebench,10,10,9,0.9,9,0.9,9,0.9,1,0,1,5.4,0.9
transfer_candidate_pool_oracle_non_deployable,rarebench,15,10,9,0.9,9,0.9,9,0.9,1,0,1,6.5,0.9
selected_logistic_resolver_transfer_old90,ALL,-1,90,72,0.8,77,0.8555555555555555,77,0.8555555555555555,2,3,7,6.0777777777777775,0.9
selected_logistic_resolver_transfer_old90,ddxplus,5,10,5,0.5,6,0.6,6,0.6,0,1,2,5.0,0.7
selected_logistic_resolver_transfer_old90,ddxplus,10,10,8,0.8,8,0.8,8,0.8,1,0,1,9.0,0.8
selected_logistic_resolver_transfer_old90,ddxplus,15,10,9,0.9,9,0.9,9,0.9,1,0,2,11.4,0.9
selected_logistic_resolver_transfer_old90,icraft_md,5,10,9,0.9,10,1.0,10,1.0,0,0,0,3.2,1.0
selected_logistic_resolver_transfer_old90,icraft_md,10,10,10,1.0,10,1.0,10,1.0,0,0,0,4.6,1.0
selected_logistic_resolver_transfer_old90,icraft_md,15,10,9,0.9,10,1.0,10,1.0,0,0,0,6.1,1.0
selected_logistic_resolver_transfer_old90,rarebench,5,10,8,0.8,8,0.8,8,0.8,0,0,0,3.5,0.9
selected_logistic_resolver_transfer_old90,rarebench,10,10,7,0.7,8,0.8,8,0.8,0,1,1,5.4,0.9
selected_logistic_resolver_transfer_old90,rarebench,15,10,7,0.7,8,0.8,8,0.8,0,1,1,6.5,0.9
